t,x,y,yaw
1785861249.944382,-2.241804,-2.214010,-1.884330
1785861250.044418,-2.241652,-2.213536,-1.872950
1785861250.144421,-2.241682,-2.213634,-1.871564
1785861250.244443,-2.241769,-2.213919,-1.868431
1785861250.424448,-2.241764,-2.213901,-1.868163
1785861250.524476,-2.240386,-2.219350,-1.866535
1785861250.624491,-2.239915,-2.221215,-1.865762
1785861250.724513,-2.239915,-2.221212,-1.864268
1785861250.844440,-2.239833,-2.220928,-1.833297
1785861251.024436,-2.239759,-2.220508,-1.683766
1785861251.124461,-2.240886,-2.222041,-1.586109
1785861251.244862,-2.240872,-2.222372,-1.458420
1785861251.344327,-2.241102,-2.209297,-1.375955
1785861251.444329,-2.241188,-2.209056,-1.280617
1785861251.584423,-2.241094,-2.209311,-1.134114
1785861251.724471,-2.239051,-2.213426,-0.984407
1785861251.824404,-2.231988,-2.223657,-0.874644
1785861251.924411,-2.218843,-2.237930,-0.742712
1785861252.004449,-2.203777,-2.250875,-0.640591
1785861252.047811,-2.194236,-2.257958,-0.588240
1785861252.124467,-2.175327,-2.269989,-0.505701
1785861252.224453,-2.149432,-2.283081,-0.408576
1785861252.324460,-2.124556,-2.292930,-0.325742
1785861252.384565,-2.110007,-2.297675,-0.280988
1785861252.444438,-2.095599,-2.301679,-0.239572
1785861252.524449,-2.076817,-2.305868,-0.186607
1785861252.604871,-2.058020,-2.309168,-0.140137
1785861252.724446,-2.028631,-2.312726,-0.078451
1785861252.824480,-2.003239,-2.314339,-0.034170
1785861252.924431,-1.978281,-2.314879,0.003145
1785861253.024401,-1.952537,-2.314681,0.032706
1785861253.124430,-1.925859,-2.313580,0.059667
1785861253.204483,-1.904508,-2.312154,0.080156
1785861253.244364,-1.894233,-2.311305,0.088136
1785861253.324441,-1.873316,-2.309407,0.103601
1785861253.424453,-1.847666,-2.306521,0.121826
1785861253.524412,-1.822644,-2.303326,0.138129
1785861253.604452,-1.802676,-2.300489,0.150185
1785861253.724426,-1.772371,-2.295662,0.168618
1785861253.824395,-1.747256,-2.291254,0.182071
1785861253.924366,-1.723097,-2.286809,0.189421
1785861254.024449,-1.698262,-2.282039,0.195511
1785861254.124374,-1.673171,-2.277061,0.199868
1785861254.224471,-1.648076,-2.271956,0.203731
1785861254.324419,-1.622482,-2.266617,0.208382
1785861254.424436,-1.597891,-2.261421,0.209567
1785861254.524374,-1.574312,-2.256267,0.215661
1785861254.604438,-1.554838,-2.251969,0.220787
1785861254.644285,-1.544895,-2.249697,0.224857
1785861254.724800,-1.524401,-2.244844,0.235961
1785861254.804340,-1.503837,-2.239693,0.250734
1785861254.844317,-1.493796,-2.237064,0.258254
1785861254.924416,-1.473092,-2.231498,0.271697
1785861255.004571,-1.452731,-2.225694,0.285151
1785861255.124398,-1.422809,-2.216679,0.304686
1785861255.224405,-1.398348,-2.208867,0.318751
1785861255.324450,-1.373342,-2.200500,0.331690
1785861255.404372,-1.353878,-2.193672,0.343508
1785861255.525305,-1.325795,-2.183375,0.361385
1785861255.624408,-1.302597,-2.174354,0.380097
1785861255.685071,-1.288512,-2.168631,0.392442
1785861255.744330,-1.274830,-2.162887,0.404697
1785861255.804408,-1.261154,-2.156925,0.418056
1785861255.844320,-1.251771,-2.152738,0.427000
1785861255.924484,-1.232773,-2.143984,0.443272
1785861256.024477,-1.208890,-2.132283,0.468048
1785861256.124424,-1.185506,-2.120188,0.491826
1785861256.224499,-1.162788,-2.107803,0.512229
1785861256.324429,-1.140996,-2.095365,0.531191
1785861256.424446,-1.119844,-2.082626,0.554262
1785861256.524398,-1.098573,-2.069092,0.581191
1785861256.604445,-1.081296,-2.057517,0.603237
1785861256.644353,-1.072893,-2.051667,0.614739
1785861256.724421,-1.056233,-2.039697,0.636874
1785861256.824427,-1.036586,-2.024774,0.665441
1785861256.924403,-1.016421,-2.008597,0.693749
1785861257.024477,-0.996568,-1.991696,0.722515
1785861257.124490,-0.977735,-1.974706,0.750651
1785861257.224474,-0.959275,-1.957073,0.779439
1785861257.284497,-0.948773,-1.946547,0.796823
1785861257.344302,-0.938551,-1.935989,0.813387
1785861257.424578,-0.925165,-1.921670,0.833970
1785861257.524455,-0.908195,-1.902767,0.855867
1785861257.604401,-0.894628,-1.887088,0.870034
1785861257.644363,-0.887937,-1.879200,0.875650
1785861257.724437,-0.874743,-1.863489,0.881728
1785861257.804455,-0.861181,-1.847229,0.883422
1785861257.844374,-0.854438,-1.839097,0.883041
1785861257.924628,-0.840887,-1.822695,0.882160
1785861258.024728,-0.824449,-1.802717,0.881844
1785861258.124489,-0.808130,-1.782812,0.884543
