t,x,y,yaw
1785861189.204777,-2.243950,-2.196306,-1.884349
1785861189.324459,-2.243644,-2.193487,-1.885662
1785861189.444556,-2.243644,-2.193487,-1.885718
1785861189.624495,-2.243956,-2.203959,-1.878605
1785861189.724586,-2.244067,-2.207526,-1.876390
1785861189.844453,-2.244067,-2.207526,-1.876254
1785861189.944498,-2.244067,-2.207526,-1.876399
1785861190.124566,-2.245513,-2.196200,-1.883410
1785861190.244389,-2.245517,-2.196212,-1.883206
1785861190.424484,-2.245558,-2.196348,-1.841839
1785861190.544522,-2.245574,-2.196543,-1.749197
1785861190.704431,-2.245637,-2.197146,-1.584045
1785861190.824360,-2.245698,-2.196972,-1.462072
1785861190.944405,-2.245672,-2.197085,-1.342884
1785861191.124439,-2.245387,-2.198055,-1.161057
1785861191.245505,-2.243834,-2.201409,-1.033105
1785861191.424390,-2.232889,-2.216574,-0.814060
1785861191.524583,-2.218175,-2.230771,-0.677357
1785861191.624379,-2.198668,-2.245240,-0.561441
1785861191.725543,-2.177600,-2.257367,-0.460234
1785861191.824410,-2.157016,-2.267000,-0.377781
1785861191.924568,-2.135470,-2.274967,-0.304568
1785861192.024447,-2.112636,-2.281644,-0.240778
1785861192.124509,-2.088341,-2.287218,-0.184900
1785861192.224351,-2.062928,-2.291472,-0.132868
1785861192.324499,-2.037408,-2.294418,-0.086322
1785861192.424428,-2.011988,-2.296335,-0.047270
1785861192.524458,-1.986511,-2.297207,-0.012577
1785861192.624432,-1.961230,-2.297145,0.021947
1785861192.724863,-1.935785,-2.296470,0.047894
1785861192.824623,-1.909716,-2.294902,0.076067
1785861192.924424,-1.883532,-2.292671,0.100458
1785861193.024392,-1.839983,-2.298703,0.130565
1785861193.044363,-1.828393,-2.301243,0.136000
1785861193.124433,-1.808329,-2.298369,0.152168
1785861193.224463,-1.783591,-2.294348,0.172439
1785861193.324375,-1.759283,-2.289952,0.190487
1785861193.424493,-1.734399,-2.285058,0.205848
1785861193.484468,-1.719134,-2.281869,0.213743
1785861193.545574,-1.702004,-2.270166,0.240745
1785861193.624421,-1.682478,-2.265330,0.248714
1785861193.724417,-1.658162,-2.259289,0.249506
1785861193.824395,-1.633111,-2.253094,0.244212
1785861193.924398,-1.610352,-2.243369,0.242848
1785861194.024433,-1.586611,-2.236100,0.235650
1785861194.124450,-1.561343,-2.230088,0.228753
1785861194.224545,-1.536726,-2.224387,0.223277
1785861194.284485,-1.522094,-2.221067,0.220170
1785861194.344719,-1.507016,-2.217688,0.218138
1785861194.424402,-1.486654,-2.213164,0.216399
1785861194.524461,-1.460973,-2.207244,0.225505
1785861194.624410,-1.436012,-2.201372,0.234581
1785861194.724426,-1.410857,-2.195199,0.245781
1785861194.824467,-1.385657,-2.188748,0.256803
1785861194.904410,-1.365662,-2.183416,0.265651
1785861194.945501,-1.355433,-2.180609,0.270866
1785861195.024414,-1.335636,-2.175002,0.281433
1785861195.124411,-1.310881,-2.167633,0.297095
1785861195.224398,-1.286999,-2.160134,0.312838
1785861195.324420,-1.262878,-2.152033,0.334147
1785861195.424384,-1.238613,-2.143155,0.363336
1785861195.524784,-1.214737,-2.133691,0.393524
1785861195.604640,-1.196165,-2.125773,0.417751
1785861195.645302,-1.186840,-2.121574,0.430503
1785861195.724468,-1.168088,-2.112668,0.458822
1785861195.824372,-1.145270,-2.100892,0.496050
1785861195.924349,-1.123350,-2.088683,0.529837
1785861196.024350,-1.101152,-2.075387,0.560712
1785861196.104378,-1.083836,-2.064315,0.584685
1785861196.144361,-1.075296,-2.058648,0.595961
1785861196.224350,-1.058388,-2.046982,0.619222
1785861196.324420,-1.037023,-2.031208,0.653777
1785861196.424435,-1.016736,-2.015053,0.692757
1785861196.524451,-0.997490,-1.998603,0.729337
1785861196.624326,-0.978410,-1.980977,0.768172
1785861196.724442,-0.959979,-1.962587,0.807103
1785861196.824434,-0.942877,-1.944184,0.844307
1785861196.904464,-0.929488,-1.928742,0.876011
1785861196.944455,-0.923055,-1.920924,0.892149
1785861197.024486,-0.910373,-1.904877,0.922355
1785861197.124377,-0.895597,-1.884889,0.955810
1785861197.224424,-0.881177,-1.864037,0.987671
1785861197.324454,-0.867238,-1.842377,1.018647
1785861197.424444,-0.854061,-1.820381,1.049846
1785861197.524398,-0.841372,-1.798018,1.073009
1785861197.624381,-0.829110,-1.775637,1.083578
1785861197.725039,-0.817008,-1.753487,1.077896
1785861197.824394,-0.805257,-1.732656,1.056211
1785861197.924438,-0.792303,-1.710583,1.030675
1785861198.024473,-0.778927,-1.688905,1.003982
1785861198.124549,-0.764823,-1.667526,0.971844
1785861198.224437,-0.749620,-1.645954,0.938580
1785861198.324511,-0.734082,-1.625328,0.905355
1785861198.404622,-0.721377,-1.609570,0.875981
1785861198.524420,-0.701235,-1.586334,0.830817
1785861198.624360,-0.683979,-1.568055,0.791637
1785861198.724404,-0.666579,-1.551034,0.751220
1785861198.824339,-0.648443,-1.534900,0.701923
1785861198.924453,-0.629320,-1.519464,0.650793
1785861199.024437,-0.609448,-1.504939,0.601506
1785861199.104411,-0.593285,-1.494202,0.561468
1785861199.146266,-0.584530,-1.488776,0.539291
1785861199.207132,-0.571276,-1.481068,0.506360
1785861199.324421,-0.545062,-1.467341,0.446519
1785861199.424451,-0.522118,-1.456935,0.394713
1785861199.524556,-0.498428,-1.447564,0.346263
1785861199.624358,-0.474777,-1.439453,0.301948
1785861199.724425,-0.451163,-1.432486,0.259547
1785861199.824517,-0.427024,-1.426399,0.220828
1785861199.924464,-0.402644,-1.421215,0.186316
1785861200.024346,-0.378069,-1.416758,0.157532
1785861200.124460,-0.353411,-1.413107,0.129651
1785861200.224483,-0.327550,-1.410022,0.101455
1785861200.324493,-0.302565,-1.407686,0.076627
1785861200.424410,-0.277815,-1.406066,0.050429
1785861200.504458,-0.257365,-1.405140,0.031322
1785861200.544706,-0.247122,-1.404812,0.022931
1785861200.624428,-0.226998,-1.404399,0.008788
1785861200.724621,-0.201809,-1.404258,-0.006598
1785861200.824414,-0.176697,-1.404466,-0.017347
1785861200.924471,-0.151538,-1.404934,-0.025848
1785861201.024381,-0.126074,-1.405615,-0.032855
1785861201.124431,-0.100203,-1.406396,-0.034570
1785861201.224340,-0.074743,-1.407250,-0.034762
1785861201.324427,-0.049647,-1.408032,-0.031597
1785861201.424460,-0.024113,-1.408704,-0.025188
1785861201.524460,0.001673,-1.409096,-0.011564
1785861201.624387,0.027356,-1.409033,0.009766
1785861201.704371,0.047634,-1.408613,0.029516
1785861201.744749,0.057898,-1.408274,0.039507
1785861201.824423,0.078508,-1.407277,0.059928
1785861201.924378,0.104536,-1.405378,0.087916
1785861202.024468,0.130185,-1.402838,0.114940
1785861202.104432,0.150701,-1.400297,0.136798
1785861202.144518,0.160680,-1.398899,0.147450
1785861202.224787,0.180393,-1.395814,0.168823
1785861202.324495,0.204701,-1.391390,0.196065
1785861202.424522,0.228399,-1.386386,0.224420
1785861202.484452,0.243129,-1.382904,0.243448
1785861202.545040,0.258038,-1.379101,0.262227
1785861202.604501,0.272601,-1.375142,0.278324
1785861202.644360,0.282514,-1.372306,0.289561
1785861202.724414,0.302384,-1.366187,0.312887
1785861202.824414,0.326966,-1.357880,0.342996
1785861202.904425,0.346501,-1.350728,0.365807
1785861202.944427,0.356258,-1.346944,0.378150
1785861203.004513,0.370535,-1.341148,0.396526
1785861203.124457,0.398553,-1.328792,0.436954
1785861203.224401,0.421407,-1.317688,0.472648
1785861203.324555,0.444078,-1.305647,0.509533
1785861203.424438,0.466456,-1.292682,0.546666
1785861203.524492,0.487716,-1.279283,0.584229
1785861203.624564,0.508258,-1.265389,0.617002
1785861203.724994,0.529219,-1.250231,0.647210
1785861203.824618,0.549344,-1.234615,0.678047
1785861203.924452,0.569223,-1.218178,0.710029
1785861204.024519,0.588905,-1.200779,0.742761
1785861204.124436,0.607216,-1.183328,0.780256
1785861204.224482,0.624559,-1.165524,0.820168
1785861204.324475,0.641203,-1.146815,0.868342
