t,x,y,yaw
1785860974.144511,-2.450041,-2.121768,-1.603305
1785860974.324419,-2.449953,-2.121770,-1.604993
1785860974.425399,-2.449953,-2.121770,-1.604654
1785860974.544585,-2.449941,-2.121771,-1.604500
1785860974.646233,-2.449869,-2.121773,-1.604477
1785860974.824511,-2.449869,-2.121773,-1.604749
1785860974.944443,-2.449869,-2.121773,-1.604406
1785860975.044548,-2.449790,-2.121776,-1.605312
1785860975.144705,-2.449790,-2.121776,-1.604994
1785860975.246834,-2.449925,-2.122109,-1.604022
1785860975.424624,-2.450526,-2.124993,-1.581277
1785860975.544407,-2.450434,-2.128837,-1.517883
1785860975.644454,-2.449781,-2.134727,-1.427480
1785860975.825015,-2.446954,-2.146038,-1.221146
1785860975.844550,-2.447124,-2.160454,-1.196196
1785860975.924500,-2.447962,-2.243786,-1.086727
1785860976.044466,-2.439795,-2.257503,-0.941183
1785860976.104472,-2.432563,-2.267073,-0.861207
1785860976.224649,-2.411642,-2.288598,-0.704939
1785860976.324494,-2.389239,-2.306234,-0.591013
1785860976.424440,-2.364616,-2.321421,-0.490108
1785860976.524438,-2.340324,-2.333430,-0.403673
1785860976.624438,-2.316290,-2.342922,-0.328771
1785860976.724418,-2.293354,-2.350241,-0.267444
1785860976.824522,-2.272080,-2.355537,-0.211951
1785860976.924389,-2.252022,-2.359380,-0.159593
1785860977.004322,-2.237346,-2.361503,-0.119754
1785860977.124424,-2.213731,-2.363892,-0.061379
1785860977.224495,-2.190018,-2.364951,-0.008463
1785860977.324466,-2.162264,-2.308299,0.007460
1785860977.344704,-2.156488,-2.288480,0.004997
1785860977.424505,-2.134442,-2.288107,0.040553
1785860977.524514,-2.107415,-2.286755,0.074451
1785860977.624540,-2.081749,-2.285008,0.087121
1785860977.724420,-2.057504,-2.283055,0.088358
1785860977.824461,-2.033268,-2.281146,0.081458
1785860977.924553,-2.008326,-2.279353,0.070195
1785860978.004381,-1.988209,-2.278002,0.061633
1785860978.045037,-1.977982,-2.277385,0.057915
1785860978.124387,-1.958454,-2.276299,0.049862
1785860978.224395,-1.933030,-2.275183,0.038740
1785860978.324412,-1.907206,-2.274060,0.037091
1785860978.424425,-1.881880,-2.272885,0.043944
1785860978.524397,-1.856726,-2.271543,0.055852
1785860978.624419,-1.832270,-2.269850,0.074679
1785860978.724422,-1.808178,-2.267786,0.095220
1785860978.824488,-1.783306,-2.265241,0.113944
1785860978.924398,-1.757472,-2.262059,0.134539
1785860979.024457,-1.731979,-2.258467,0.151136
1785860979.104413,-1.711627,-2.255322,0.162489
1785860979.144420,-1.701530,-2.253677,0.167332
1785860979.224375,-1.681287,-2.250245,0.175567
1785860979.324425,-1.656328,-2.245830,0.181495
1785860979.424443,-1.627326,-2.227444,0.193720
1785860979.524511,-1.602286,-2.222620,0.191597
1785860979.624406,-1.577305,-2.217837,0.188218
1785860979.724896,-1.552777,-2.213243,0.183489
1785860979.804421,-1.533170,-2.209652,0.179465
1785860979.844470,-1.523106,-2.207833,0.177545
1785860979.924412,-1.502881,-2.204204,0.175085
1785860980.024428,-1.477668,-2.199660,0.176235
1785860980.125963,-1.452251,-2.195065,0.178901
1785860980.224440,-1.428203,-2.190543,0.186723
1785860980.324472,-1.404168,-2.185813,0.198079
1785860980.384306,-1.389439,-2.182783,0.206060
1785860980.446428,-1.373745,-2.179416,0.215504
1785860980.524449,-1.353585,-2.174886,0.227500
1785860980.624430,-1.327885,-2.168708,0.244660
1785860980.724456,-1.302565,-2.162086,0.266045
1785860980.824495,-1.277565,-2.155009,0.287898
1785860980.924435,-1.253106,-2.147459,0.312153
1785860981.024409,-1.229072,-2.139329,0.340732
1785860981.124499,-1.204937,-2.130248,0.376809
1785860981.224510,-1.181249,-2.120280,0.418722
1785860981.324445,-1.158183,-2.109571,0.458471
1785860981.424414,-1.135369,-2.097929,0.495588
1785860981.524505,-1.113024,-2.085457,0.531287
1785860981.624438,-1.091219,-2.072244,0.566985
1785860981.724546,-1.070045,-2.058272,0.604782
1785860981.824561,-1.049369,-2.043438,0.644397
1785860981.924446,-1.029443,-2.027982,0.683578
1785860982.024455,-1.009903,-2.011524,0.723907
1785860982.124449,-0.990871,-1.994141,0.763989
1785860982.224478,-0.972808,-1.976268,0.804028
1785860982.324457,-0.956112,-1.958381,0.842684
1785860982.424449,-0.939770,-1.939610,0.878269
1785860982.524483,-0.924066,-1.920285,0.910506
1785860982.604563,-0.912209,-1.904894,0.931053
1785860982.724461,-0.894527,-1.881050,0.950748
1785860982.804460,-0.882729,-1.864639,0.957890
1785860982.845118,-0.876845,-1.856341,0.960244
1785860982.924459,-0.865486,-1.840273,0.961235
1785860983.024415,-0.850959,-1.819880,0.954476
1785860983.125187,-0.835759,-1.798733,0.945435
1785860983.224525,-0.821468,-1.778924,0.939938
1785860983.324477,-0.806866,-1.759011,0.935547
1785860983.404372,-0.794770,-1.742568,0.934358
1785860983.444394,-0.788709,-1.734330,0.934441
1785860983.524482,-0.776406,-1.717712,0.932949
1785860983.624496,-0.760876,-1.696942,0.927554
1785860983.724414,-0.744861,-1.676094,0.912665
1785860983.825540,-0.728555,-1.655688,0.888461
1785860983.924424,-0.712557,-1.636732,0.857086
1785860984.004448,-0.699240,-1.621725,0.831140
1785860984.045348,-0.692223,-1.614150,0.816353
1785860984.124422,-0.678841,-1.600212,0.789560
1785860984.224415,-0.661450,-1.583076,0.757989
1785860984.324433,-0.642712,-1.565789,0.725484
1785860984.424658,-0.622896,-1.548707,0.691703
1785860984.524448,-0.603108,-1.532773,0.658348
1785860984.624562,-0.583228,-1.517871,0.623669
1785860984.704825,-0.567134,-1.506586,0.594528
1785860984.824435,-0.542881,-1.490952,0.547166
1785860984.924393,-0.521837,-1.478811,0.498521
1785860985.024454,-0.499491,-1.467381,0.443747
1785860985.124683,-0.476616,-1.457211,0.387029
1785860985.224656,-0.452986,-1.448085,0.334222
1785860985.324403,-0.428887,-1.440051,0.289842
1785860985.384382,-0.414396,-1.435782,0.265735
1785860985.448802,-0.398979,-1.431635,0.242537
1785860985.524486,-0.380991,-1.427274,0.218542
1785860985.624476,-0.356702,-1.422079,0.189453
1785860985.724455,-0.332568,-1.417686,0.162482
1785860985.804369,-0.313043,-1.414625,0.140962
1785860985.845321,-0.302866,-1.413181,0.130649
1785860985.924479,-0.282768,-1.410736,0.107376
1785860986.024416,-0.257110,-1.408306,0.077809
1785860986.124443,-0.232062,-1.406516,0.055244
1785860986.224531,-0.206986,-1.405333,0.032136
1785860986.324574,-0.181968,-1.404620,0.015618
1785860986.424632,-0.157503,-1.404367,-0.000157
