t,x,y,yaw
1785416710.556583,-2.229434,-1.962283,-1.407202
1785416710.736504,-2.228018,-1.963759,-1.394824
1785416710.856516,-2.227562,-1.964327,-1.382764
1785416710.956550,-2.227562,-1.964329,-1.384135
1785416711.096470,-2.227584,-1.964215,-1.382655
1785416711.236513,-2.227565,-1.964313,-1.375346
1785416711.356485,-2.227560,-1.964335,-1.372632
1785416711.456532,-2.227532,-1.964120,-1.361606
1785416711.556612,-2.227420,-1.963817,-1.342390
1785416711.736578,-2.227424,-1.963826,-1.181362
1785416711.856485,-2.227464,-1.963738,-1.048114
1785416711.956523,-2.227387,-1.963878,-0.937075
1785416712.056692,-2.227347,-1.963908,-0.829849
1785416712.196498,-2.226459,-1.960867,-0.676411
1785416712.336582,-2.219833,-1.965560,-0.530458
1785416712.436550,-2.208138,-1.971952,-0.414262
1785416712.536503,-2.188992,-1.979520,-0.294036
1785416712.636582,-2.163871,-1.986061,-0.180713
1785416712.736465,-2.136924,-1.989943,-0.081537
1785416712.836563,-2.110267,-1.991016,0.013231
1785416712.937021,-2.084998,-1.989674,0.105140
1785416713.036495,-2.059170,-1.972846,0.293919
1785416713.136540,-2.035745,-1.964986,0.370254
1785416713.236513,-2.012802,-1.955464,0.437437
1785416713.336470,-1.990061,-1.944382,0.492057
1785416713.436508,-1.968023,-1.932144,0.537032
1785416713.536629,-1.946643,-1.919043,0.575658
1785416713.636523,-1.923965,-1.898520,0.647051
1785416713.736378,-1.903301,-1.880216,0.686671
1785416713.836595,-1.882972,-1.863325,0.709708
1785416713.916787,-1.867024,-1.849526,0.724478
1785416713.956696,-1.859206,-1.842604,0.730682
1785416714.036570,-1.843902,-1.828838,0.740473
1785416714.136567,-1.816335,-1.828029,0.671331
1785416714.236485,-1.797189,-1.812717,0.679527
1785416714.336599,-1.777759,-1.796867,0.689832
1785416714.436559,-1.758169,-1.780328,0.708337
1785416714.536498,-1.738452,-1.763089,0.729936
1785416714.636546,-1.718801,-1.745203,0.750038
1785416714.736510,-1.699908,-1.727480,0.763311
1785416714.836998,-1.681234,-1.709538,0.774088
1785416714.936525,-1.662860,-1.691529,0.781417
1785416715.036433,-1.628275,-1.680466,0.755178
1785416715.136508,-1.610053,-1.663258,0.759829
1785416715.236531,-1.591577,-1.645659,0.763277
1785416715.336546,-1.573571,-1.628461,0.763806
1785416715.436730,-1.556253,-1.611787,0.767135
1785416715.536532,-1.539585,-1.591896,0.786090
1785416715.636511,-1.522618,-1.573419,0.791086
1785416715.736508,-1.505074,-1.555713,0.790345
1785416715.836488,-1.487363,-1.537856,0.788951
1785416715.896515,-1.476720,-1.527196,0.786281
1785416715.957060,-1.466051,-1.516568,0.782637
1785416716.036561,-1.451931,-1.502556,0.779330
1785416716.096493,-1.441219,-1.491968,0.777617
1785416716.156475,-1.430249,-1.481134,0.777271
1785416716.236500,-1.415279,-1.466366,0.777675
1785416716.336504,-1.396524,-1.447813,0.780215
1785416716.436551,-1.378193,-1.429538,0.785321
1785416716.536573,-1.363689,-1.399349,0.828431
1785416716.636437,-1.346367,-1.380182,0.840346
1785416716.736535,-1.329439,-1.361005,0.854323
1785416716.836585,-1.312692,-1.341473,0.870281
1785416716.936589,-1.296578,-1.322113,0.885610
1785416717.036545,-1.280787,-1.302607,0.899018
1785416717.136504,-1.264931,-1.282346,0.915729
1785416717.236584,-1.249344,-1.261600,0.937094
1785416717.336457,-1.234491,-1.240798,0.963514
1785416717.436516,-1.220115,-1.219486,0.993258
1785416717.536532,-1.206277,-1.197605,1.024692
1785416717.636551,-1.193308,-1.175772,1.052195
1785416717.716376,-1.183497,-1.158325,1.072596
1785416717.796530,-1.174264,-1.141226,1.088494
1785416717.856537,-1.167459,-1.128233,1.098474
1785416717.936638,-1.158573,-1.110801,1.109424
1785416718.036452,-1.147586,-1.088453,1.123421
1785416718.136480,-1.136691,-1.065538,1.135295
1785416718.236511,-1.125991,-1.042224,1.148275
1785416718.336471,-1.115695,-1.018831,1.164354
1785416718.436555,-1.105748,-0.995315,1.179791
1785416718.539146,-1.095881,-0.971075,1.193630
1785416718.636517,-1.086927,-0.947939,1.210134
1785416718.736513,-1.078072,-0.923713,1.230815
1785416718.836506,-1.069557,-0.899325,1.246276
1785416718.936415,-1.061413,-0.875055,1.255269
1785416719.036514,-1.053528,-0.851461,1.252480
1785416719.137371,-1.045662,-0.827937,1.247827
1785416719.236537,-1.037719,-0.804427,1.242849
1785416719.336530,-1.029341,-0.780183,1.235037
1785416719.436500,-1.020550,-0.755507,1.223806
1785416719.536798,-1.011443,-0.730876,1.209751
1785416719.636592,-1.002440,-0.707460,1.195544
1785416719.736508,-0.992922,-0.684021,1.176066
1785416719.836538,-0.983035,-0.660793,1.157383
1785416719.936489,-0.972915,-0.638359,1.135503
1785416720.036520,-0.962187,-0.615875,1.112537
1785416720.136531,-0.950850,-0.593639,1.085210
1785416720.236552,-0.938790,-0.571593,1.053405
1785416720.337360,-0.925799,-0.549599,1.017831
1785416720.436549,-0.912171,-0.528284,0.981207
1785416720.536500,-0.897769,-0.507559,0.941498
1785416720.636439,-0.882572,-0.487366,0.901882
1785416720.736531,-0.866610,-0.467908,0.860117
1785416720.836529,-0.850004,-0.449203,0.820146
1785416720.936696,-0.832523,-0.431106,0.778357
1785416721.036518,-0.814395,-0.413828,0.736521
1785416721.136636,-0.795586,-0.397222,0.698420
1785416721.236522,-0.776165,-0.381253,0.665513
1785416721.336498,-0.756209,-0.365920,0.635454
1785416721.436548,-0.735692,-0.351042,0.609696
1785416721.536496,-0.715192,-0.336970,0.586039
1785416721.636498,-0.694231,-0.323217,0.566185
1785416721.736489,-0.672941,-0.309901,0.546977
1785416721.836591,-0.651182,-0.296804,0.529712
1785416721.936471,-0.629316,-0.284220,0.511775
1785416722.036534,-0.606995,-0.271891,0.494092
1785416722.136521,-0.584838,-0.260137,0.477305
1785416722.236604,-0.562529,-0.248767,0.461271
1785416722.336654,-0.539892,-0.237715,0.444303
1785416722.436532,-0.517419,-0.227134,0.430385
1785416722.539279,-0.493629,-0.216207,0.422170
1785416722.637082,-0.471053,-0.206055,0.417947
1785416722.736698,-0.447676,-0.195617,0.417411
1785416722.836487,-0.424532,-0.185359,0.416431
1785416722.936467,-0.401204,-0.175090,0.413690
1785416723.036526,-0.377821,-0.164825,0.412609
1785416723.136486,-0.355176,-0.154964,0.409778
1785416723.236645,-0.332405,-0.145068,0.408514
1785416723.336470,-0.309569,-0.135117,0.410496
1785416723.436461,-0.286598,-0.124942,0.418577
