t,x,y,yaw
1785416632.456437,-2.220097,-1.971703,-1.449542
1785416632.556591,-2.222512,-1.963427,-1.446424
1785416632.656969,-2.222511,-1.963436,-1.449380
1785416632.836987,-2.222509,-1.963450,-1.453627
1785416632.937171,-2.222509,-1.963450,-1.453032
1785416633.037204,-2.222509,-1.963450,-1.453025
1785416633.156534,-2.222509,-1.963450,-1.453025
1785416633.236472,-2.219531,-1.974399,-1.447088
1785416633.336541,-2.218493,-1.978231,-1.445010
1785416633.437783,-2.217250,-1.975679,-1.456531
1785416633.556498,-2.216907,-1.974900,-1.442894
1785416633.656520,-2.216904,-1.974924,-1.389988
1785416633.756528,-2.217594,-1.971880,-1.300734
1785416633.856626,-2.217584,-1.971925,-1.191918
1785416633.957388,-2.217490,-1.972145,-1.083089
1785416634.136961,-2.217217,-1.974706,-0.914193
1785416634.238505,-2.217061,-1.974912,-0.822144
1785416634.356728,-2.216927,-1.975029,-0.708553
1785416634.496525,-2.214533,-1.977000,-0.564943
1785416634.636516,-2.204957,-1.985768,-0.425416
1785416634.736494,-2.191572,-1.992212,-0.298775
1785416634.836497,-2.171381,-1.997450,-0.168953
1785416634.936842,-2.146566,-2.000732,-0.055250
1785416635.037188,-2.118868,-2.001347,0.043769
1785416635.136379,-2.091002,-1.999211,0.132322
1785416635.237715,-2.063435,-1.994628,0.211958
1785416635.336571,-2.038745,-1.988519,0.282386
1785416635.436523,-2.015283,-1.981023,0.349656
1785416635.536498,-1.992504,-1.972043,0.413734
1785416635.636481,-1.970434,-1.937421,0.595537
1785416635.656547,-1.968821,-1.926035,0.647102
1785416635.736927,-1.952424,-1.913406,0.686786
1785416635.796484,-1.940552,-1.903601,0.710252
1785416635.856672,-1.928873,-1.893596,0.728428
1785416635.936815,-1.913631,-1.880102,0.742450
1785416635.997401,-1.902059,-1.869560,0.750259
1785416636.056569,-1.890699,-1.859002,0.757351
1785416636.136539,-1.875489,-1.844552,0.765691
1785416636.237007,-1.846985,-1.824636,0.751251
1785416636.337373,-1.828452,-1.807322,0.753673
1785416636.396774,-1.817722,-1.797269,0.753972
1785416636.456618,-1.806902,-1.787111,0.754005
1785416636.536490,-1.792362,-1.773496,0.752779
1785416636.636547,-1.773724,-1.756166,0.748629
1785416636.736473,-1.754757,-1.738636,0.743711
1785416636.836547,-1.729903,-1.752645,0.654991
1785416636.936493,-1.710073,-1.737265,0.657083
1785416637.037331,-1.689786,-1.721250,0.670905
1785416637.136464,-1.669936,-1.705170,0.688086
1785416637.236542,-1.650040,-1.688487,0.707618
1785416637.296493,-1.638080,-1.678200,0.718279
1785416637.356612,-1.626307,-1.667858,0.728345
1785416637.436560,-1.610760,-1.653969,0.737048
1785416637.536602,-1.578053,-1.623052,0.744202
1785416637.636573,-1.559446,-1.605959,0.747015
1785416637.737576,-1.540664,-1.588653,0.746014
1785416637.837336,-1.522082,-1.571554,0.743324
1785416637.936538,-1.503209,-1.554425,0.735169
1785416638.036510,-1.484407,-1.537514,0.728223
1785416638.136503,-1.470832,-1.516897,0.761457
1785416638.236946,-1.452211,-1.499125,0.760242
1785416638.336482,-1.433539,-1.481381,0.758889
1785416638.437906,-1.414532,-1.463344,0.758278
1785416638.539153,-1.395825,-1.445586,0.759200
1785416638.636602,-1.374962,-1.430839,0.746208
1785416638.736506,-1.355427,-1.414435,0.746494
1785416638.837776,-1.336736,-1.396884,0.757588
1785416638.936745,-1.318705,-1.379526,0.772814
1785416639.037082,-1.300401,-1.361342,0.791453
1785416639.136743,-1.282420,-1.342740,0.813661
1785416639.237153,-1.264651,-1.323657,0.833582
1785416639.336514,-1.247577,-1.304333,0.859865
1785416639.437972,-1.230819,-1.284314,0.890017
1785416639.536533,-1.215056,-1.264184,0.924241
1785416639.636821,-1.199700,-1.243256,0.957299
1785416639.737059,-1.185527,-1.222703,0.986134
1785416639.836840,-1.172069,-1.201888,1.014572
1785416639.936603,-1.158799,-1.180027,1.042698
1785416640.036554,-1.145905,-1.157433,1.069322
1785416640.136881,-1.133634,-1.134344,1.098785
1785416640.236938,-1.122213,-1.111388,1.125897
1785416640.336966,-1.111632,-1.088341,1.156956
1785416640.436486,-1.101730,-1.065023,1.187994
1785416640.537172,-1.092524,-1.041300,1.219122
1785416640.637159,-1.083978,-1.017457,1.244595
1785416640.736893,-1.076081,-0.993530,1.267391
1785416640.836478,-1.068672,-0.969424,1.286207
1785416640.936625,-1.061464,-0.944620,1.299104
1785416641.037029,-1.054404,-0.919739,1.301391
1785416641.136450,-1.047620,-0.895298,1.302445
1785416641.236496,-1.040941,-0.871342,1.298217
1785416641.337374,-1.034051,-0.847084,1.292292
1785416641.436589,-1.026958,-0.822717,1.284055
1785416641.538980,-1.019332,-0.797523,1.271284
1785416641.636436,-1.011807,-0.773813,1.256255
