t,x,y,yaw
1785416563.356453,-2.377472,-2.089071,-1.188766
1785416563.456473,-2.377496,-2.089080,-1.188766
1785416563.636600,-2.377632,-2.089135,-1.188765
1785416563.756636,-2.377632,-2.089135,-1.188765
1785416563.857033,-2.377632,-2.089135,-1.188765
1785416564.036660,-2.377791,-2.089198,-1.188766
1785416564.156646,-2.377791,-2.089198,-1.188766
1785416564.336570,-2.377791,-2.089198,-1.188766
1785416564.456224,-2.377902,-2.089374,-1.187528
1785416564.556846,-2.377936,-2.089293,-1.169574
1785416564.736528,-2.377718,-2.089696,-1.034223
1785416564.837106,-2.376889,-2.090961,-0.919028
1785416564.956214,-2.371210,-2.101826,-0.778526
1785416565.036586,-2.347532,-2.155374,-0.703826
1785416565.136625,-2.343471,-2.158643,-0.597594
1785416565.237515,-2.334600,-2.164372,-0.489356
1785416565.339165,-2.318240,-2.172292,-0.364468
1785416565.436568,-2.295818,-2.179621,-0.238972
1785416565.536887,-2.283656,-2.135720,-0.009001
1785416565.556307,-2.282993,-2.119487,0.048502
1785416565.636497,-2.260127,-2.117771,0.122932
1785416565.736520,-2.233509,-2.113536,0.207107
1785416565.836722,-2.208212,-2.107454,0.281820
1785416565.936518,-2.184349,-2.100018,0.342477
1785416566.036576,-2.160949,-2.092073,0.396782
1785416566.136797,-2.139439,-2.082821,0.445458
1785416566.236655,-2.120397,-2.073311,0.486196
1785416566.336711,-2.102281,-2.063455,0.521595
1785416566.436514,-2.083041,-2.052235,0.554010
1785416566.539259,-2.061086,-2.038453,0.583832
1785416566.636562,-2.039635,-2.024070,0.606354
1785416566.736555,-2.017805,-2.008660,0.628001
1785416566.837630,-1.996273,-1.992788,0.647502
1785416566.936744,-1.976090,-1.977292,0.663903
1785416567.036529,-1.956395,-1.961694,0.679100
1785416567.136553,-1.936879,-1.945802,0.692320
1785416567.236692,-1.904895,-1.937639,0.669578
1785416567.340036,-1.880436,-1.924390,0.673376
1785416567.437583,-1.860988,-1.908491,0.694327
1785416567.539154,-1.840837,-1.891285,0.719524
1785416567.596908,-1.830040,-1.881701,0.733045
1785416567.656353,-1.818791,-1.876719,0.734155
1785416567.696488,-1.810668,-1.898035,0.675771
1785416567.756232,-1.799607,-1.890870,0.686025
1785416567.836592,-1.784207,-1.878037,0.708419
1785416567.936602,-1.765300,-1.861424,0.737602
1785416568.036518,-1.746371,-1.843877,0.764942
1785416568.137532,-1.727732,-1.825664,0.789841
1785416568.237363,-1.710625,-1.808172,0.809275
1785416568.336627,-1.674484,-1.764207,0.856990
1785416568.436576,-1.658165,-1.745383,0.867424
1785416568.537357,-1.641680,-1.726044,0.870905
1785416568.638105,-1.624986,-1.706390,0.868865
1785416568.736607,-1.608688,-1.687216,0.865698
1785416568.836585,-1.596592,-1.666944,0.876094
1785416568.899680,-1.588350,-1.654805,0.875310
1785416568.956748,-1.579468,-1.644288,0.866999
1785416569.036659,-1.566561,-1.629299,0.854281
1785416569.136525,-1.549546,-1.610101,0.836593
1785416569.236516,-1.531949,-1.590938,0.817282
1785416569.296453,-1.521384,-1.579709,0.807783
1785416569.359467,-1.510183,-1.568038,0.798346
1785416569.416548,-1.499911,-1.557534,0.790195
1785416569.457951,-1.492453,-1.549985,0.785448
1785416569.536576,-1.478739,-1.536203,0.780708
1785416569.636582,-1.460967,-1.518526,0.778455
1785416569.738149,-1.442388,-1.500109,0.779538
1785416569.836519,-1.424246,-1.482177,0.779627
1785416569.896473,-1.403969,-1.480515,0.736011
1785416569.956761,-1.392036,-1.470598,0.737673
1785416570.036597,-1.376825,-1.456631,0.745175
1785416570.116449,-1.361927,-1.442699,0.755598
1785416570.196495,-1.347320,-1.428706,0.769391
1785416570.256185,-1.336568,-1.418171,0.780665
1785416570.336481,-1.322069,-1.403542,0.798531
1785416570.436797,-1.304080,-1.384623,0.823689
1785416570.536501,-1.286816,-1.365432,0.853470
1785416570.636571,-1.270653,-1.346502,0.880653
1785416570.737029,-1.255038,-1.327272,0.904771
1785416570.836561,-1.239914,-1.307562,0.931669
1785416570.936543,-1.224901,-1.286902,0.958951
1785416571.036644,-1.209972,-1.264980,0.990157
1785416571.096522,-1.201285,-1.251494,1.009975
1785416571.156619,-1.192979,-1.238026,1.029951
1785416571.236552,-1.182408,-1.220107,1.054274
1785416571.336735,-1.169892,-1.197506,1.083318
1785416571.436507,-1.158238,-1.175057,1.109152
1785416571.536448,-1.147379,-1.152544,1.137407
1785416571.636617,-1.136914,-1.129273,1.165203
1785416571.736516,-1.127032,-1.105661,1.191325
1785416571.836749,-1.117848,-1.081882,1.217647
1785416571.936485,-1.109136,-1.057722,1.240133
1785416572.036576,-1.100881,-1.033302,1.258056
1785416572.096505,-1.096188,-1.018750,1.267033
1785416572.156525,-1.091598,-1.004123,1.274455
1785416572.236975,-1.085568,-0.984359,1.281836
1785416572.336509,-1.078217,-0.959702,1.286985
1785416572.436663,-1.071093,-0.935190,1.291096
1785416572.536571,-1.064120,-0.910686,1.296386
1785416572.636509,-1.057411,-0.886856,1.298387
1785416572.736729,-1.050625,-0.862913,1.295852
1785416572.836549,-1.043641,-0.838570,1.289956
1785416572.936581,-1.036325,-0.813807,1.279784
1785416573.036599,-1.028789,-0.789164,1.268401
1785416573.136575,-1.021033,-0.764929,1.253606
1785416573.236611,-1.013004,-0.741351,1.233173
1785416573.337204,-1.004170,-0.717041,1.210478
1785416573.436571,-0.995179,-0.693770,1.189311
1785416573.496449,-0.989579,-0.679976,1.176480
1785416573.556256,-0.983871,-0.666468,1.162807
1785416573.636569,-0.976302,-0.649353,1.143472
1785416573.736501,-0.967134,-0.629551,1.123703
1785416573.836500,-0.957368,-0.609683,1.101079
1785416573.937906,-0.946302,-0.588454,1.075728
1785416574.036864,-0.934371,-0.566984,1.048220
1785416574.136517,-0.921168,-0.544824,1.016244
1785416574.236567,-0.906900,-0.522577,0.980990
1785416574.336623,-0.891938,-0.501065,0.942312
1785416574.436588,-0.876223,-0.480138,0.904038
1785416574.536629,-0.860048,-0.460175,0.867653
1785416574.636566,-0.843849,-0.441528,0.834573
1785416574.736543,-0.827343,-0.423729,0.803990
1785416574.836497,-0.809920,-0.405932,0.776361
1785416574.936516,-0.792519,-0.389245,0.748369
1785416575.036463,-0.774774,-0.373049,0.722736
