t,x,y,yaw
1785416792.337641,-2.248231,-1.852102,-1.401015
1785416792.456439,-2.248231,-1.852102,-1.401015
1785416792.556512,-2.250181,-1.845931,-1.401201
1785416792.736585,-2.250181,-1.845931,-1.401201
1785416792.856627,-2.250482,-1.845979,-1.400931
1785416792.956738,-2.250482,-1.845979,-1.400931
1785416793.136530,-2.250482,-1.845979,-1.400931
1785416793.236601,-2.250482,-1.845979,-1.400931
1785416793.356530,-2.250446,-1.846188,-1.400979
1785416793.496512,-2.250097,-1.848182,-1.391915
1785416793.636522,-2.248969,-1.853829,-1.354010
1785416793.736564,-2.246228,-1.865381,-1.286739
1785416793.862066,-2.243710,-1.872167,-1.156466
1785416794.036633,-2.238699,-1.881182,-0.964530
1785416794.156575,-2.232059,-1.889921,-0.843055
1785416794.256524,-2.222959,-1.899361,-0.728859
1785416794.336530,-2.211910,-1.908677,-0.632183
1785416794.436591,-2.192267,-1.921834,-0.511002
1785416794.456583,-2.162559,-1.946165,-0.414995
1785416794.536499,-2.108579,-1.989995,0.103667
1785416794.596599,-2.091174,-1.987884,0.160002
1785416794.656466,-2.074339,-1.984909,0.212517
1785416794.736915,-2.052504,-1.979870,0.269780
1785416794.796545,-2.037174,-1.975543,0.303921
1785416794.856483,-2.022547,-1.970777,0.337494
1785416794.936510,-2.003835,-1.963940,0.375760
1785416795.036607,-1.981117,-1.954667,0.415966
1785416795.136548,-1.958259,-1.944262,0.449217
1785416795.237153,-1.936204,-1.933306,0.479655
1785416795.336897,-1.914840,-1.921924,0.506675
1785416795.396565,-1.902295,-1.914872,0.522424
1785416795.456300,-1.890423,-1.907928,0.536457
1785416795.536782,-1.875727,-1.898966,0.555023
1785416795.636524,-1.858301,-1.887854,0.580762
1785416795.736516,-1.840595,-1.876019,0.607511
1785416795.836652,-1.821331,-1.862395,0.633844
1785416795.936586,-1.801037,-1.847151,0.660996
1785416796.036522,-1.780278,-1.830732,0.685691
1785416796.136599,-1.760214,-1.814056,0.706340
1785416796.236565,-1.740989,-1.797437,0.723661
1785416796.336644,-1.722240,-1.780751,0.737913
1785416796.396471,-1.710910,-1.770514,0.742773
1785416796.456482,-1.699593,-1.760176,0.745360
1785416796.496513,-1.692162,-1.753340,0.746719
1785416796.556499,-1.681138,-1.743145,0.748282
1785416796.596503,-1.673720,-1.736296,0.748359
1785416796.656512,-1.662735,-1.726172,0.746436
1785416796.736603,-1.770517,-1.784826,0.528734
1785416796.756743,-1.823258,-1.802482,0.456936
1785416796.836511,-1.805581,-1.793769,0.454781
1785416796.938561,-1.782182,-1.782151,0.461167
1785416797.036516,-1.759166,-1.770348,0.478229
1785416797.137600,-1.730658,-1.753258,0.497313
1785416797.236628,-1.706868,-1.739300,0.531866
1785416797.336584,-1.685005,-1.725860,0.572711
1785416797.436494,-1.663871,-1.711808,0.609614
1785416797.536701,-1.643109,-1.697046,0.640070
1785416797.638498,-1.622408,-1.681419,0.664497
1785416797.736628,-1.602710,-1.665980,0.678697
1785416797.836687,-1.582869,-1.649881,0.691126
1785416797.936581,-1.563361,-1.633697,0.700155
1785416798.036530,-1.543487,-1.616944,0.705809
1785416798.136711,-1.528210,-1.597413,0.735615
1785416798.236512,-1.511349,-1.579292,0.749840
