key,test,thesis_table,run_dir,summary_json
map_summary,map_summary,5.2,/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233406_map_summary,"{""test"": ""map_summary"", ""thesis_table"": ""5.2"", ""run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233406_map_summary"", ""duration_min"": 12.0, ""resolution_m"": null, ""loop_closures_geom"": 590, ""loop_closures_aruco"": 0, ""loop_closures_detail"": {""geom"": 590, ""aruco"": 0, ""by_type"": {""0"": 1492, ""1"": 148, ""2"": 442, ""8"": 118, ""9"": 935}, ""db"": ""/home/phongjetson/.ros/rtabmap.db""}, ""consistency"": ""lane walls continuous; dock revisit closed"", ""map_yaml"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/install/tarkbot_robot/../src/real/tarkbot_robot/maps/restaurant.yaml"", ""map_pgm"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/maps/restaurant.pgm"", ""pgm_stats"": {""width"": 125, ""height"": 136, ""maxval"": 255, ""free_pct"": 34.11764705882353, ""occupied_pct"": 7.552941176470588, ""unknown_pct"": 58.32941176470588}, ""_run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233406_map_summary""}"
odometry,odometry,5.1,/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry,"{""test"": ""odometry"", ""n_trials"": 5, ""n_ok"": 5, ""table_id"": 1, ""run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry"", ""trajectories_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry/trajectories"", ""trajectory_files"": [""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry/trajectories/trial_01.csv"", ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry/trajectories/trial_02.csv"", ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry/trajectories/trial_03.csv"", ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry/trajectories/trial_04.csv"", ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry/trajectories/trial_05.csv""], ""position_cm_mean_std"": ""45.00 ± 16.93"", ""heading_deg_mean_std"": ""15.89 ± 9.76"", ""position_cm_values"": [23.79286055144343, 66.7825066434379, 45.00079308530509, 55.24673996164099, 34.19666079954815], ""heading_deg_values"": [5.079766713429393, 14.2832404958761, 21.83983038469418, 9.00420244104069, 29.246494320696996], ""thesis_table"": ""5.1"", ""thesis_figure"": ""5.2"", ""_run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_233650_odometry""}"
localization,localization,5.3,/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_234615_localization,"{""test"": ""localization"", ""n_trials"": 5, ""run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_234615_localization"", ""table_1_arrival"": {""abs_dx_cm"": ""12.96 ± 4.45"", ""abs_dy_cm"": ""16.84 ± 3.67"", ""abs_dpsi_deg"": ""11.56 ± 3.08"", ""n"": 3}, ""dock_return"": {""abs_dx_cm"": ""18.07 ± 7.77"", ""abs_dy_cm"": ""11.67 ± 5.61"", ""abs_dpsi_deg"": ""15.15 ± 2.75"", ""n"": 3}, ""thesis_table"": ""5.3"", ""_run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_234615_localization""}"
navigation_align_on,navigation,5.4,/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_235317_nav_align_on,"{""test"": ""navigation"", ""enable_visual_align"": true, ""n_trials"": 5, ""n_success"": 5, ""nav_success_rate_pct"": 100.0, ""trip_time_s_mean_std"": ""65.01 ± 4.62"", ""lateral_err_cm_mean_std"": ""1.57 ± 0.58"", ""range_err_cm_mean_std"": ""15.15 ± 3.51"", ""abs_dpsi_deg_mean_std"": ""0.30 ± 0.06"", ""run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_235317_nav_align_on"", ""thesis_table"": ""5.4"", ""_run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260729_235317_nav_align_on""}"
navigation_align_off,navigation,5.5,/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260730_000026_nav_align_off,"{""test"": ""navigation"", ""enable_visual_align"": false, ""n_trials"": 5, ""n_success"": 5, ""nav_success_rate_pct"": 100.0, ""trip_time_s_mean_std"": ""63.91 ± 6.94"", ""lateral_err_cm_mean_std"": ""47.77 ± 7.98"", ""range_err_cm_mean_std"": ""15.06 ± 1.54"", ""abs_dpsi_deg_mean_std"": ""0.02 ± 0.03"", ""run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260730_000026_nav_align_off"", ""thesis_table"": ""5.5"", ""_run_dir"": ""/home/phongjetson/ptd_workspace/AIWaiter/robot_ws/src/real/tarkbot_robot/evaluate/logs/20260730_000026_nav_align_off""}"
