t,x,y,yaw
1785415250.654382,0.000000,0.000000,-0.000000
1785415250.754386,0.000000,0.000000,-0.000000
1785415250.874282,0.000000,0.000000,-0.000000
1785415250.974323,0.000000,0.000000,-0.000000
1785415251.074950,0.000000,0.000000,-0.000000
1785415251.215701,0.000000,0.000000,-0.000000
1785415251.354409,0.000000,0.000000,-0.000000
1785415251.454448,0.000000,0.000000,-0.000000
1785415251.554496,0.000000,0.000000,-0.000000
1785415251.674333,-0.000045,-0.000000,0.000261
1785415251.774350,0.000166,0.000001,0.011319
1785415251.874397,0.000404,0.000006,0.042603
1785415251.974880,0.000536,0.000019,0.112377
1785415252.115246,0.001782,0.000254,0.272223
1785415252.255143,0.005482,0.001584,0.445914
1785415252.374356,0.010273,0.004179,0.587814
1785415252.475236,0.018769,0.010168,0.708384
1785415252.554574,0.028823,0.019192,0.812712
1785415252.614303,0.037816,0.028923,0.887986
1785415252.654293,0.044297,0.036845,0.935112
1785415252.714293,0.054149,0.050419,1.000962
1785415252.754553,0.060415,0.060476,1.043983
1785415252.814422,0.069161,0.076149,1.105013
1785415252.854538,0.074356,0.086719,1.143940
1785415252.914331,0.081063,0.102338,1.199689
1785415252.954627,0.084960,0.112723,1.235919
1785415253.014279,0.089799,0.127796,1.289808
1785415253.054398,0.092564,0.137803,1.325036
1785415253.114399,0.095985,0.152714,1.377369
1785415253.154504,0.097874,0.162858,1.413031
1785415253.214486,0.099893,0.177759,1.465692
1785415253.256397,0.100815,0.187850,1.501378
1785415253.314267,0.101434,0.201124,1.548691
1785415253.374845,0.101496,0.214215,1.596888
1785415253.455209,0.100724,0.231962,1.655437
1785415253.514367,0.099559,0.245387,1.691358
1785415253.574308,0.097879,0.259645,1.720360
1785415253.654368,0.094966,0.279425,1.747331
1785415253.714333,0.092348,0.294803,1.760065
1785415253.754899,0.090431,0.305568,1.764387
1785415253.814428,0.087507,0.321504,1.764309
1785415253.874375,0.084473,0.337434,1.762450
1785415253.914232,0.082470,0.347905,1.761441
1785415253.954570,0.080478,0.358312,1.759454
1785415254.014247,0.077584,0.373509,1.756446
1785415254.054554,0.075672,0.383671,1.754723
1785415254.116619,0.072773,0.399104,1.753107
1785415254.158931,0.070833,0.409556,1.752472
1785415254.214329,0.068289,0.423001,1.753932
1785415254.256011,0.066389,0.433200,1.754350
1785415254.314559,0.063717,0.447560,1.753955
1785415254.374339,0.061022,0.462058,1.754362
1785415254.457386,0.057256,0.482472,1.754034
1785415254.514333,0.054629,0.496534,1.754931
1785415254.554418,0.052742,0.506417,1.756954
1785415254.614427,0.049859,0.521363,1.761114
1785415254.654969,0.047828,0.531677,1.765627
1785415254.714227,0.044718,0.546851,1.774397
1785415254.754370,0.042480,0.557364,1.782240
1785415254.814388,0.038994,0.572895,1.795708
1785415254.854896,0.036592,0.583138,1.804444
1785415254.914318,0.033075,0.597583,1.815812
1785415254.954430,0.030610,0.607444,1.823363
1785415255.014346,0.026814,0.621981,1.834052
1785415255.055019,0.024080,0.632109,1.841325
1785415255.114401,0.019941,0.646853,1.851785
1785415255.155485,0.016992,0.657048,1.858325
1785415255.214263,0.012654,0.671594,1.867405
1785415255.254781,0.009606,0.681585,1.872715
1785415255.314239,0.005113,0.696119,1.877584
1785415255.355357,0.001960,0.706248,1.879341
1785415255.414327,-0.002592,0.720707,1.880396
1785415255.454879,-0.005694,0.730514,1.879939
1785415255.514358,-0.010154,0.744693,1.877263
1785415255.555411,-0.013204,0.754449,1.874886
1785415255.614206,-0.017560,0.768500,1.871006
1785415255.656582,-0.020742,0.778854,1.868349
1785415255.714939,-0.025065,0.793133,1.863325
1785415255.754501,-0.027944,0.802800,1.859075
1785415255.814240,-0.032210,0.817360,1.852639
1785415255.874535,-0.036439,0.831954,1.848110
1785415255.954363,-0.041916,0.851499,1.840345
1785415256.014341,-0.045983,0.866416,1.833214
1785415256.055463,-0.048697,0.876659,1.827641
1785415256.114323,-0.052456,0.891238,1.818913
1785415256.154366,-0.054959,0.901223,1.812880
1785415256.214489,-0.058589,0.916181,1.803414
1785415256.254362,-0.060951,0.926296,1.796556
1785415256.314299,-0.064367,0.941417,1.786723
1785415256.354982,-0.066622,0.951744,1.780494
1785415256.414270,-0.069781,0.966846,1.770829
1785415256.455319,-0.071882,0.977335,1.763920
1785415256.514270,-0.074783,0.992151,1.756754
1785415256.554407,-0.076748,1.002399,1.753530
1785415256.614377,-0.079529,1.017353,1.749214
1785415256.654344,-0.081301,1.027242,1.745545
1785415256.714385,-0.083929,1.042139,1.741336
1785415256.754767,-0.085688,1.052190,1.739934
1785415256.814244,-0.088256,1.066777,1.740955
1785415256.854401,-0.090025,1.076795,1.742630
1785415256.914236,-0.092675,1.091741,1.745679
1785415256.954816,-0.094502,1.101961,1.747887
1785415257.014293,-0.097262,1.117249,1.750874
1785415257.054839,-0.099156,1.127613,1.752889
1785415257.114265,-0.102008,1.142732,1.758224
1785415257.154566,-0.103992,1.152949,1.762932
1785415257.214221,-0.106995,1.167977,1.770737
1785415257.254254,-0.109085,1.178065,1.776897
1785415257.314295,-0.112321,1.193231,1.785872
1785415257.354322,-0.114538,1.203298,1.791650
1785415257.414284,-0.118003,1.218260,1.803007
1785415257.454309,-0.120405,1.228246,1.810988
1785415257.514297,-0.124070,1.242988,1.821855
1785415257.555032,-0.126629,1.253040,1.827465
1785415257.614159,-0.130512,1.267598,1.837538
1785415257.654253,-0.133285,1.277543,1.845967
1785415257.714298,-0.137515,1.292277,1.857440
