t,x,y,yaw
1785415510.874372,1.507275,1.003550,-0.187124
1785415511.014391,1.507005,1.003602,-0.203793
1785415511.154372,1.507016,1.003601,-0.196238
1785415511.254374,1.507016,1.003601,-0.196220
1785415511.374298,1.507016,1.003601,-0.196220
1785415511.474374,1.507016,1.003601,-0.196220
1785415511.574422,1.507003,1.003604,-0.196196
1785415511.715142,1.507349,1.003542,-0.193434
1785415511.857224,1.507383,1.003531,-0.137564
1785415511.974411,1.507295,1.003539,-0.039594
1785415512.075016,1.507064,1.003539,0.058606
1785415512.214423,1.507245,1.003559,0.198971
1785415512.314428,1.507382,1.003591,0.302020
1785415512.414567,1.507456,1.003618,0.400950
1785415512.554205,1.509153,1.004396,0.542275
1785415512.674430,1.514707,1.007969,0.666277
1785415512.774350,1.522712,1.014680,0.775872
1785415512.854165,1.530311,1.022636,0.871774
1785415512.916961,1.536680,1.030534,0.947767
1785415512.974341,1.542805,1.039295,1.015474
1785415513.054104,1.551437,1.054102,1.107869
1785415513.114327,1.557630,1.067046,1.175544
1785415513.154145,1.561479,1.076394,1.217825
1785415513.214371,1.566742,1.091390,1.278691
1785415513.254106,1.569721,1.101556,1.317681
1785415513.314478,1.573465,1.117184,1.374316
1785415513.354383,1.575378,1.127487,1.411454
1785415513.414394,1.577569,1.143122,1.466335
1785415513.454138,1.578539,1.153390,1.501035
1785415513.516590,1.579389,1.169298,1.552098
1785415513.574373,1.579477,1.183790,1.596698
1785415513.614357,1.579182,1.193934,1.626528
1785415513.654096,1.578567,1.204011,1.655394
1785415513.714545,1.577047,1.219579,1.698572
1785415513.754140,1.575682,1.229819,1.724794
1785415513.814396,1.573179,1.245432,1.759695
1785415513.854129,1.571237,1.255600,1.780357
1785415513.914599,1.567957,1.270901,1.807618
1785415513.954220,1.565536,1.280818,1.823988
1785415514.014390,1.561604,1.295759,1.847033
1785415514.054178,1.558783,1.305647,1.861646
1785415514.119978,1.553827,1.322013,1.883201
1785415514.174397,1.549405,1.335383,1.901449
1785415514.214333,1.546032,1.345141,1.914555
1785415514.257931,1.542204,1.355649,1.929309
1785415514.314377,1.537044,1.369092,1.948271
1785415514.354179,1.533306,1.378461,1.960249
1785415514.414222,1.527532,1.392369,1.976987
1785415514.454556,1.523548,1.401573,1.988221
1785415514.514414,1.517424,1.415220,2.003914
1785415514.574376,1.511327,1.428384,2.016218
1785415514.614423,1.507055,1.437475,2.021748
1785415514.654192,1.502701,1.446525,2.026692
1785415514.714336,1.496000,1.460333,2.031135
1785415514.754106,1.491576,1.469412,2.031610
1785415514.814377,1.484893,1.483079,2.029629
1785415514.854756,1.480420,1.492256,2.027459
1785415514.914462,1.473713,1.505989,2.024974
1785415514.954156,1.469238,1.515185,2.022837
1785415515.014358,1.462510,1.529173,2.018179
1785415515.054071,1.458156,1.538302,2.014513
1785415515.114442,1.451621,1.552101,2.009484
1785415515.154114,1.447373,1.561167,2.006576
1785415515.214386,1.441122,1.574564,2.002956
1785415515.274662,1.434835,1.588275,1.998658
1785415515.354111,1.426625,1.606318,1.993933
1785415515.414351,1.420440,1.620064,1.990773
1785415515.454113,1.416355,1.629240,1.988533
1785415515.514293,1.410126,1.643257,1.986589
1785415515.576361,1.403697,1.657763,1.985923
1785415515.614320,1.399605,1.667066,1.984792
1785415515.654909,1.395397,1.676657,1.983091
1785415515.715645,1.389213,1.690870,1.979874
1785415515.774348,1.383316,1.704450,1.978103
1785415515.814391,1.379271,1.713828,1.977076
1785415515.855364,1.375187,1.723321,1.975837
1785415515.915320,1.369096,1.737595,1.973239
1785415515.954165,1.365124,1.746959,1.971388
1785415516.014381,1.359101,1.761180,1.969282
1785415516.054120,1.355084,1.770719,1.968155
1785415516.114332,1.349152,1.784843,1.966762
1785415516.154157,1.345285,1.794102,1.965412
1785415516.214324,1.339476,1.808105,1.962862
1785415516.274399,1.333778,1.821908,1.960806
1785415516.354098,1.326297,1.840174,1.957699
1785415516.414333,1.320625,1.854064,1.956513
1785415516.474395,1.314896,1.868142,1.955902
1785415516.514620,1.311069,1.877616,1.954607
1785415516.554132,1.307266,1.887098,1.952615
1785415516.614337,1.301419,1.901705,1.950203
1785415516.654107,1.297576,1.911288,1.949894
1785415516.714473,1.291807,1.925608,1.951514
1785415516.777308,1.285899,1.940309,1.952737
1785415516.855263,1.278634,1.958307,1.954825
1785415516.914444,1.273017,1.972043,1.958820
1785415516.954305,1.269138,1.981420,1.962646
1785415517.014355,1.263257,1.995474,1.969056
1785415517.054976,1.259262,2.004882,1.973892
1785415517.116467,1.252958,2.019439,1.982894
1785415517.174596,1.246723,2.033485,1.992835
1785415517.214367,1.242494,2.042834,1.999395
1785415517.254109,1.238069,2.052493,2.005581
1785415517.314416,1.231311,2.066815,2.017088
1785415517.354102,1.226898,2.075950,2.024815
1785415517.414247,1.220158,2.089662,2.035085
1785415517.454146,1.215640,2.098683,2.041264
1785415517.514516,1.208672,2.112189,2.053046
1785415517.574453,1.201583,2.125440,2.067944
1785415517.654274,1.192094,2.142558,2.087485
1785415517.714425,1.184654,2.155454,2.103237
1785415517.754201,1.179539,2.164063,2.114122
1785415517.814211,1.171527,2.177116,2.131416
1785415517.855437,1.165850,2.186087,2.143328
1785415517.914412,1.157456,2.198936,2.160894
1785415517.954094,1.151807,2.207279,2.172817
1785415518.014230,1.143051,2.219850,2.190645
1785415518.054169,1.137168,2.228069,2.201783
1785415518.119810,1.127250,2.241491,2.220254
1785415518.174404,1.118696,2.252653,2.235424
1785415518.214609,1.112284,2.260818,2.246032
1785415518.274840,1.102650,2.272778,2.261048
1785415518.354108,1.089767,2.288082,2.282758
1785415518.414356,1.079782,2.299510,2.299304
1785415518.454117,1.073102,2.306963,2.310196
1785415518.514317,1.062946,2.318001,2.325812
1785415518.574322,1.052626,2.328855,2.341686
1785415518.660004,1.037564,2.344040,2.366103
1785415518.714410,1.027636,2.353703,2.380984
1785415518.754092,1.020186,2.360754,2.392272
1785415518.814306,1.008550,2.371463,2.409272
1785415518.854239,1.000735,2.378490,2.419116
1785415518.914327,0.988845,2.388873,2.434182
1785415518.954139,0.980881,2.395621,2.445273
1785415519.014359,0.969221,2.405246,2.460791
1785415519.074334,0.957665,2.414520,2.475740
1785415519.154095,0.942175,2.426549,2.494231
1785415519.214344,0.930353,2.435440,2.506529
1785415519.274389,0.918193,2.444400,2.517744
1785415519.354109,0.902117,2.455889,2.530968
1785415519.414147,0.889734,2.464544,2.539885
1785415519.454142,0.881404,2.470261,2.545597
1785415519.514352,0.868661,2.478900,2.552690
1785415519.554042,0.860284,2.484493,2.556980
1785415519.614324,0.847944,2.492629,2.563339
1785415519.659108,0.838863,2.498572,2.566980
1785415519.715586,0.827128,2.506215,2.569635
1785415519.774442,0.814487,2.514424,2.570719
1785415519.814430,0.805683,2.520125,2.570379
1785415519.854275,0.796803,2.525908,2.568102
1785415519.914379,0.783451,2.534671,2.561867
1785415519.954461,0.774722,2.540475,2.556020
1785415520.014313,0.761841,2.549138,2.546525
1785415520.074240,0.748957,2.558085,2.531849
1785415520.114412,0.740369,2.564216,2.519711
1785415520.154129,0.732220,2.570196,2.505630
1785415520.214381,0.720120,2.579371,2.482939
1785415520.274340,0.708407,2.588638,2.459615
1785415520.315555,0.700565,2.595078,2.443571
1785415520.374297,0.689495,2.604486,2.422045
1785415520.414331,0.681939,2.611140,2.407654
1785415520.474334,0.670884,2.621237,2.386505
1785415520.554103,0.656594,2.634908,2.360484
1785415520.614453,0.646090,2.645482,2.339656
1785415520.654599,0.639083,2.652811,2.324298
1785415520.714299,0.628915,2.663889,2.300069
1785415520.754114,0.622180,2.671525,2.283272
1785415520.814499,0.612242,2.683290,2.256841
1785415520.854103,0.605847,2.691201,2.239032
1785415520.914845,0.596448,2.703393,2.210896
1785415520.954075,0.590476,2.711484,2.192885
1785415521.014358,0.581782,2.723824,2.166336
1785415521.074321,0.573417,2.736387,2.140217
1785415521.154142,0.562963,2.753172,2.106655
1785415521.214391,0.555552,2.765832,2.083151
1785415521.255623,0.550557,2.774706,2.067836
1785415521.314229,0.543749,2.787449,2.046018
1785415521.355562,0.539100,2.796484,2.032016
1785415521.414374,0.532404,2.810065,2.013148
1785415521.454452,0.528085,2.819181,2.001441
1785415521.514715,0.521840,2.832934,1.984125
1785415521.574317,0.515968,2.846560,1.966224
1785415521.614523,0.512074,2.855886,1.954763
1785415521.674350,0.506513,2.869843,1.937871
1785415521.714447,0.502944,2.879217,1.926420
1785415521.755476,0.499320,2.889029,1.914988
1785415521.814577,0.494377,2.903022,1.899266
1785415521.854097,0.491155,2.912514,1.888823
1785415521.914221,0.486494,2.926887,1.873395
1785415521.974324,0.482046,2.941350,1.858227
1785415522.054247,0.476524,2.960385,1.840956
1785415522.114348,0.472581,2.974732,1.829185
1785415522.174392,0.468839,2.989082,1.817599
1785415522.254147,0.464107,3.008169,1.803294
1785415522.314328,0.460672,3.022808,1.793085
1785415522.354164,0.458472,3.032598,1.786054
1785415522.414223,0.455330,3.047228,1.775632
1785415522.454063,0.453291,3.057038,1.769198
1785415522.514327,0.450362,3.071786,1.759853
1785415522.574338,0.447578,3.086425,1.751916
1785415522.614384,0.445771,3.096296,1.746675
1785415522.654098,0.444024,3.106240,1.740619
1785415522.714368,0.441546,3.121377,1.728431
1785415522.754212,0.439993,3.131519,1.719011
1785415522.814464,0.437837,3.146616,1.705372
1785415522.855615,0.436486,3.156951,1.695360
1785415522.915097,0.434739,3.171937,1.679095
1785415522.974400,0.433233,3.186706,1.662884
1785415523.054322,0.431626,3.206717,1.637938
1785415523.114217,0.430736,3.221878,1.618004
1785415523.154166,0.430323,3.232079,1.603530
1785415523.214510,0.429953,3.247616,1.581335
1785415523.254190,0.429870,3.258036,1.567395
1785415523.314373,0.430045,3.273861,1.545747
1785415523.354303,0.430343,3.284438,1.531345
1785415523.414399,0.431048,3.300041,1.511566
1785415523.454684,0.431664,3.310382,1.499715
1785415523.514359,0.432779,3.325581,1.483873
1785415523.554225,0.433655,3.335819,1.474493
1785415523.614520,0.435071,3.350727,1.464428
1785415523.654151,0.436081,3.360848,1.459400
1785415523.714415,0.437766,3.375966,1.452032
1785415523.774430,0.439505,3.390965,1.447964
1785415523.854192,0.441868,3.410936,1.447869
1785415523.914360,0.443672,3.425966,1.449101
1785415523.954201,0.444830,3.435967,1.451978
1785415524.014356,0.446500,3.450951,1.459161
1785415524.074349,0.448035,3.465966,1.470037
1785415524.115110,0.448982,3.476179,1.479278
1785415524.154109,0.449801,3.486190,1.489988
1785415524.214185,0.450855,3.501554,1.508993
1785415524.259808,0.451494,3.513253,1.523994
1785415524.314340,0.451891,3.527322,1.548704
1785415524.354146,0.452049,3.537444,1.564979
1785415524.414404,0.451990,3.552567,1.589787
1785415524.474339,0.451576,3.567299,1.614584
1785415524.556258,0.450481,3.587290,1.646533
1785415524.614307,0.449303,3.601502,1.668992
1785415524.657560,0.448227,3.612178,1.685024
1785415524.715465,0.446524,3.626517,1.704873
1785415524.774337,0.444474,3.641079,1.724954
1785415524.854280,0.441130,3.660973,1.754918
1785415524.915965,0.438059,3.676607,1.779568
1785415524.956568,0.435807,3.686982,1.796263
1785415525.014658,0.432323,3.701593,1.819806
1785415525.059924,0.429386,3.712877,1.838342
1785415525.115140,0.425488,3.726666,1.861186
1785415525.155218,0.422442,3.736731,1.877521
1785415525.214328,0.417699,3.751167,1.903120
1785415525.254126,0.414201,3.761198,1.920345
1785415525.314555,0.408560,3.776139,1.948023
1785415525.354356,0.404652,3.785807,1.966531
1785415525.414356,0.398539,3.799980,1.994873
1785415525.455475,0.394210,3.809483,2.012837
1785415525.514402,0.387751,3.822924,2.037348
1785415525.554489,0.383198,3.831903,2.053782
1785415525.614345,0.376166,3.845103,2.077721
1785415525.674260,0.368991,3.857793,2.100926
1785415525.755093,0.359014,3.874352,2.132134
1785415525.814388,0.351438,3.886182,2.155652
1785415525.874841,0.343528,3.897971,2.178186
