t,x,y,yaw
1785343315.584251,1.582799,1.029042,-0.383598
1785343315.723719,1.582558,1.029139,-0.391001
1785343315.823932,1.582558,1.029139,-0.391001
1785343315.963640,1.582558,1.029139,-0.391001
1785343316.083416,1.582558,1.029139,-0.391001
1785343316.184253,1.582558,1.029139,-0.391001
1785343316.324462,1.582558,1.029139,-0.391001
1785343316.426506,1.582558,1.029139,-0.391005
1785343316.563769,1.582797,1.029045,-0.386012
1785343316.683473,1.582617,1.029111,-0.339566
1785343316.783778,1.582155,1.029256,-0.266491
1785343316.923409,1.582001,1.029287,-0.143599
1785343317.026093,1.581961,1.029293,-0.048890
1785343317.163165,1.581840,1.029291,0.090822
1785343317.263423,1.581917,1.029295,0.192194
1785343317.383700,1.582171,1.029358,0.304683
1785343317.524137,1.582404,1.029449,0.431217
1785343317.663255,1.582492,1.029499,0.569600
1785343317.783546,1.583251,1.029947,0.693483
1785343317.923612,1.591477,1.037180,0.837466
1785343318.024325,1.602905,1.050852,0.962627
1785343318.083441,1.610529,1.062156,1.037043
1785343318.125993,1.616003,1.071560,1.088122
1785343318.164357,1.620788,1.080831,1.133206
1785343318.223402,1.627533,1.095734,1.192418
1785343318.263244,1.631552,1.105906,1.229788
1785343318.323727,1.636759,1.121400,1.283721
1785343318.363190,1.639602,1.131368,1.317391
1785343318.403472,1.642180,1.141632,1.350730
1785343318.443415,1.644340,1.151715,1.383169
1785343318.483374,1.646141,1.161718,1.414937
1785343318.524822,1.647678,1.172206,1.447523
1785343318.583379,1.649296,1.186976,1.492027
1785343318.623862,1.650044,1.197177,1.520959
1785343318.683642,1.650656,1.212214,1.560050
1785343318.743393,1.650693,1.227225,1.595493
1785343318.783474,1.650428,1.237296,1.617556
1785343318.823882,1.649916,1.247537,1.638651
1785343318.884001,1.648843,1.262637,1.666381
1785343318.924544,1.647835,1.272823,1.684204
1785343318.983481,1.646079,1.287701,1.708252
1785343319.024142,1.644609,1.297998,1.725118
1785343319.083333,1.642211,1.313138,1.746001
1785343319.124966,1.640309,1.323935,1.759288
1785343319.163368,1.638392,1.333933,1.771785
1785343319.224647,1.635072,1.349842,1.790580
1785343319.263831,1.632766,1.359934,1.802990
1785343319.323487,1.629019,1.375373,1.821251
1785343319.363353,1.626401,1.385555,1.831655
1785343319.426827,1.622108,1.401543,1.844846
1785343319.483379,1.618178,1.415621,1.853674
1785343319.524491,1.615335,1.425327,1.859866
1785343319.584082,1.611077,1.439811,1.866510
1785343319.624448,1.608101,1.449534,1.870825
1785343319.683398,1.603703,1.463975,1.873610
1785343319.723999,1.600668,1.473903,1.872836
1785343319.763561,1.597663,1.483758,1.871899
1785343319.823963,1.593135,1.498660,1.867719
1785343319.883427,1.588755,1.513200,1.862573
1785343319.923723,1.585822,1.523067,1.858435
1785343319.963446,1.582947,1.532880,1.854425
1785343320.023469,1.578708,1.547609,1.847342
1785343320.063195,1.575955,1.557368,1.843104
1785343320.123590,1.571872,1.572091,1.836945
1785343320.183524,1.567880,1.586709,1.832516
1785343320.223520,1.565261,1.596403,1.830114
1785343320.263545,1.562674,1.606146,1.827586
1785343320.324402,1.558804,1.620979,1.823094
1785343320.364569,1.556260,1.630906,1.820131
1785343320.425631,1.552461,1.645881,1.816110
1785343320.483400,1.548926,1.659984,1.813182
1785343320.563302,1.544193,1.679261,1.808552
1785343320.623425,1.540641,1.693969,1.804831
1785343320.663500,1.538325,1.703785,1.801776
1785343320.723628,1.534948,1.718516,1.794716
1785343320.783371,1.531697,1.733205,1.785868
1785343320.823994,1.529559,1.743221,1.778808
1785343320.863646,1.527516,1.753093,1.771752
1785343320.923550,1.524521,1.768016,1.762356
1785343320.963230,1.522588,1.778021,1.756598
1785343321.026912,1.519640,1.793963,1.747082
1785343321.083436,1.517140,1.808187,1.738855
1785343321.123426,1.515439,1.818198,1.733805
1785343321.183588,1.512937,1.833332,1.727930
1785343321.224901,1.511321,1.843318,1.725460
1785343321.283417,1.509075,1.857611,1.722252
1785343321.363145,1.506084,1.877117,1.719256
1785343321.423424,1.503841,1.891940,1.718394
1785343321.464842,1.502298,1.902220,1.718143
1785343321.524402,1.499980,1.916932,1.723550
1785343321.583426,1.497631,1.931523,1.730254
1785343321.624104,1.495928,1.941688,1.736484
1785343321.664038,1.494205,1.951581,1.743801
1785343321.724711,1.491444,1.966638,1.756482
1785343321.783348,1.488588,1.981352,1.768898
1785343321.823475,1.486490,1.991558,1.778215
1785343321.863219,1.484310,2.001701,1.787896
1785343321.923775,1.480785,2.017181,1.803303
1785343321.963288,1.478371,2.027156,1.814010
1785343322.023478,1.474445,2.042544,1.830324
1785343322.063292,1.471751,2.052613,1.840421
1785343322.123521,1.467492,2.067798,1.855022
1785343322.163155,1.464606,2.077551,1.865123
1785343322.226331,1.459869,2.092795,1.882220
1785343322.283379,1.455356,2.106446,1.899017
1785343322.323978,1.452106,2.115949,1.909526
1785343322.383436,1.447234,2.129721,1.922506
1785343322.423564,1.443751,2.139156,1.932159
1785343322.463490,1.440167,2.148504,1.943235
1785343322.523778,1.434507,2.162601,1.961849
1785343322.563281,1.430620,2.171934,1.973805
1785343322.625706,1.424154,2.186844,1.992587
1785343322.683447,1.417883,2.200602,2.009863
1785343322.723445,1.413372,2.210120,2.022109
1785343322.783430,1.406345,2.224389,2.040756
1785343322.824221,1.401532,2.233729,2.053660
1785343322.864571,1.396628,2.243052,2.066001
1785343322.924218,1.389266,2.256537,2.082723
1785343322.964198,1.384278,2.265394,2.093336
1785343323.024020,1.376651,2.278493,2.109318
1785343323.064154,1.371404,2.287215,2.120228
1785343323.123413,1.363503,2.299955,2.136773
1785343323.163248,1.358068,2.308452,2.147999
1785343323.224109,1.349512,2.321372,2.166709
1785343323.283370,1.340948,2.333759,2.186567
1785343323.325433,1.334845,2.342258,2.200912
1785343323.383499,1.326045,2.354152,2.220958
1785343323.423672,1.319875,2.362185,2.234805
1785343323.463362,1.313592,2.370135,2.249593
1785343323.523880,1.303768,2.382113,2.271996
1785343323.563302,1.297195,2.389854,2.286156
1785343323.623784,1.286925,2.401554,2.306103
1785343323.663584,1.280044,2.409138,2.318670
1785343323.724846,1.269399,2.420567,2.335419
1785343323.783455,1.259053,2.431264,2.351851
1785343323.823554,1.251832,2.438531,2.362850
1785343323.863222,1.244689,2.445556,2.373291
1785343323.923467,1.233604,2.456219,2.387547
1785343323.964454,1.225935,2.463403,2.397242
1785343324.024162,1.214541,2.473821,2.411434
1785343324.064819,1.206661,2.480853,2.421062
1785343324.123598,1.195138,2.490927,2.433429
1785343324.163297,1.187389,2.497563,2.440762
1785343324.223766,1.175551,2.507533,2.450477
1785343324.264474,1.167607,2.514105,2.456536
1785343324.323463,1.156054,2.523651,2.460287
1785343324.384046,1.144303,2.533202,2.464585
1785343324.423757,1.136479,2.539561,2.465249
1785343324.483500,1.124909,2.548949,2.463451
1785343324.563436,1.109581,2.561537,2.454746
1785343324.623607,1.097965,2.571245,2.444848
1785343324.663260,1.090228,2.577789,2.438222
1785343324.724057,1.078348,2.587982,2.427547
1785343324.763322,1.070681,2.594684,2.419877
