t,x,y,yaw
1785343234.163459,1.072393,0.817577,-0.220176
1785343234.263473,1.072391,0.817578,-0.221202
1785343234.383531,1.072391,0.817578,-0.221202
1785343234.523440,1.072391,0.817578,-0.221220
1785343234.623515,1.072391,0.817578,-0.221220
1785343234.763414,1.072391,0.817578,-0.221220
1785343234.883505,1.072662,0.817517,-0.220632
1785343234.983604,1.072438,0.817567,-0.205463
1785343235.123617,1.072042,0.817631,-0.124705
1785343235.263419,1.071558,0.817658,0.012572
1785343235.383350,1.071731,0.817659,0.130852
1785343235.483502,1.071749,0.817669,0.219036
1785343235.623429,1.071937,0.817719,0.344358
1785343235.723488,1.071996,0.817746,0.446777
1785343235.823504,1.072439,0.817927,0.552237
1785343235.963357,1.080503,0.823207,0.693882
1785343236.063414,1.093842,0.835063,0.816500
1785343236.123409,1.103672,0.845910,0.893473
1785343236.163426,1.110340,0.854309,0.942891
1785343236.223524,1.119807,0.867947,1.012579
1785343236.263561,1.125499,0.877303,1.055246
1785343236.323455,1.133013,0.891091,1.112402
1785343236.363409,1.137623,0.900473,1.146521
1785343236.423426,1.143585,0.914302,1.196039
1785343236.483504,1.148656,0.927894,1.244228
1785343236.563311,1.154446,0.946401,1.307733
1785343236.623417,1.158134,0.960906,1.354293
1785343236.663366,1.160256,0.970874,1.384456
1785343236.723715,1.162918,0.986199,1.429039
1785343236.763304,1.164347,0.996390,1.456623
1785343236.823472,1.165931,1.011942,1.497061
1785343236.863461,1.166629,1.022361,1.523441
1785343236.923479,1.167202,1.038101,1.561355
1785343236.963889,1.167259,1.048900,1.585855
1785343237.023435,1.166933,1.064509,1.615783
1785343237.063397,1.166516,1.074847,1.633217
1785343237.123458,1.165495,1.090237,1.656077
1785343237.163571,1.164623,1.100325,1.671005
1785343237.223600,1.163004,1.115530,1.693646
1785343237.263416,1.161742,1.125773,1.706863
1785343237.323482,1.159575,1.141252,1.725061
1785343237.383360,1.157114,1.156581,1.742401
1785343237.423434,1.155305,1.166845,1.754744
1785343237.463406,1.153396,1.176971,1.765730
1785343237.523474,1.150378,1.192224,1.778961
1785343237.583451,1.147148,1.207538,1.789696
1785343237.623473,1.144896,1.217677,1.796003
1785343237.664399,1.142572,1.227999,1.800821
1785343237.724343,1.139221,1.242351,1.805637
1785343237.783433,1.135855,1.256742,1.807156
1785343237.823338,1.133549,1.266556,1.806704
1785343237.863259,1.131213,1.276513,1.805117
1785343237.923702,1.127703,1.291710,1.799700
1785343237.964601,1.125358,1.302017,1.795249
1785343238.023436,1.122185,1.316742,1.783056
1785343238.063584,1.120088,1.326593,1.775991
1785343238.123369,1.117110,1.341325,1.764540
1785343238.163347,1.115200,1.351184,1.756830
1785343238.223663,1.112465,1.366143,1.744769
1785343238.263426,1.110752,1.376008,1.737034
1785343238.323415,1.108311,1.390772,1.726260
1785343238.383416,1.106061,1.405373,1.715767
1785343238.443425,1.103953,1.420113,1.705706
1785343238.523453,1.101301,1.440039,1.694204
1785343238.583468,1.099419,1.455185,1.687396
1785343238.623350,1.098220,1.465384,1.683296
1785343238.683463,1.096534,1.480143,1.678635
1785343238.723366,1.095377,1.490243,1.678247
1785343238.764542,1.094261,1.500350,1.677195
1785343238.823527,1.092634,1.515041,1.678074
1785343238.863368,1.091533,1.525220,1.678076
1785343238.923502,1.089927,1.540475,1.675983
1785343238.991074,1.088111,1.557341,1.676300
1785343239.063573,1.086045,1.575535,1.682675
1785343239.123398,1.084252,1.590747,1.689218
1785343239.163419,1.082996,1.601013,1.694005
1785343239.223897,1.080944,1.616543,1.704659
1785343239.263450,1.079473,1.626578,1.715358
1785343239.323377,1.077061,1.641264,1.737033
1785343239.383448,1.074378,1.655884,1.761720
1785343239.463354,1.070244,1.675390,1.797773
1785343239.523558,1.066616,1.690309,1.826099
1785343239.563400,1.063980,1.700115,1.845047
1785343239.623406,1.059688,1.714870,1.872475
1785343239.663408,1.056575,1.724781,1.889909
1785343239.723377,1.051645,1.739453,1.913955
1785343239.763433,1.048128,1.749288,1.929017
1785343239.823400,1.042650,1.763978,1.946587
1785343239.863364,1.038848,1.773684,1.957000
1785343239.923366,1.033103,1.787938,1.968307
1785343239.984070,1.027109,1.802333,1.977123
1785343240.063490,1.019138,1.820797,1.987482
1785343240.123379,1.012926,1.834920,1.992853
1785343240.164229,1.008547,1.844782,1.995492
1785343240.223406,1.002193,1.858813,1.999785
1785343240.263344,0.997927,1.868081,2.003172
1785343240.323451,0.991354,1.882171,2.010234
1785343240.363444,0.986862,1.891619,2.016002
1785343240.423430,0.980025,1.905662,2.027021
1785343240.463373,0.975429,1.915029,2.032465
1785343240.523458,0.968545,1.928807,2.040148
1785343240.563701,0.963947,1.937790,2.046116
1785343240.623441,0.956890,1.951284,2.057449
1785343240.683445,0.949610,1.964825,2.070247
1785343240.723395,0.944643,1.973825,2.079555
1785343240.763196,0.939572,1.982838,2.089150
1785343240.823421,0.931777,1.996259,2.104909
1785343240.863458,0.926537,2.004977,2.116694
1785343240.924102,0.918415,2.018069,2.135774
1785343240.983328,0.910203,2.030777,2.155420
1785343241.023354,0.904413,2.039450,2.168832
1785343241.063495,0.898512,2.048074,2.181459
1785343241.123407,0.889514,2.060786,2.199809
1785343241.163359,0.883495,2.068990,2.211995
1785343241.223430,0.874256,2.081217,2.230166
1785343241.263329,0.868037,2.089213,2.241755
1785343241.323375,0.858484,2.101148,2.258528
1785343241.363222,0.851950,2.109075,2.269616
1785343241.423389,0.841865,2.120990,2.285584
1785343241.463394,0.835153,2.128678,2.295933
1785343241.523452,0.824982,2.140044,2.311155
1785343241.583438,0.814839,2.151047,2.325907
1785343241.623462,0.807902,2.158365,2.336685
1785343241.663449,0.800937,2.165551,2.347781
1785343241.723429,0.790343,2.176211,2.364033
1785343241.764686,0.783053,2.183343,2.374571
1785343241.823413,0.772510,2.193442,2.388496
1785343241.883431,0.761693,2.203506,2.402467
1785343241.923376,0.754292,2.210267,2.410942
1785343241.983379,0.742943,2.220415,2.422386
1785343242.023648,0.735016,2.227403,2.428894
1785343242.063444,0.727221,2.234178,2.433807
1785343242.123378,0.715308,2.244418,2.439252
1785343242.164464,0.707151,2.251343,2.442572
1785343242.223446,0.695539,2.261144,2.445695
1785343242.263364,0.687632,2.267764,2.447873
1785343242.323369,0.675832,2.277605,2.450003
1785343242.363247,0.668066,2.284088,2.449381
