t,x,y,yaw
1785343019.223480,0.000000,0.000000,-0.000000
1785343019.363383,0.000000,0.000000,-0.000000
1785343019.485697,0.000000,0.000000,-0.000000
1785343019.623533,0.000000,0.000000,-0.000000
1785343019.763424,0.000000,0.000000,-0.000000
1785343019.863456,0.000000,0.000000,-0.000000
1785343019.963485,0.000000,0.000000,-0.000000
1785343020.083773,0.000000,0.000000,-0.000000
1785343020.223430,0.000000,0.000000,-0.000000
1785343020.363305,0.000000,0.000000,-0.000000
1785343020.483537,-0.000007,-0.000000,0.000314
1785343020.623403,0.000278,0.000003,0.024001
1785343020.723403,0.000982,0.000039,0.084943
1785343020.823821,0.003681,0.000381,0.186381
1785343020.963371,0.011954,0.002606,0.354906
1785343021.063412,0.019081,0.005612,0.469074
1785343021.163567,0.026762,0.009877,0.576294
1785343021.263509,0.036370,0.016663,0.692409
1785343021.323570,0.044026,0.023267,0.775179
1785343021.383451,0.052907,0.032283,0.857556
1785343021.463390,0.065701,0.047877,0.957918
1785343021.523415,0.075415,0.062058,1.026030
1785343021.563412,0.081346,0.072051,1.068575
1785343021.623413,0.089843,0.087861,1.126240
1785343021.663325,0.094907,0.098681,1.161524
1785343021.723374,0.101397,0.114496,1.213474
1785343021.763296,0.105083,0.124754,1.247577
1785343021.823396,0.109862,0.139913,1.296464
1785343021.863380,0.112531,0.149881,1.328971
1785343021.926150,0.116111,0.165629,1.379090
1785343021.983431,0.118681,0.180046,1.423555
1785343022.023380,0.120098,0.190204,1.454071
1785343022.063333,0.121207,0.200188,1.482749
1785343022.123425,0.122339,0.215174,1.524554
1785343022.183450,0.122874,0.229966,1.561993
1785343022.263322,0.122762,0.248857,1.604414
1785343022.323446,0.122220,0.262328,1.631869
1785343022.383419,0.121366,0.275424,1.656285
1785343022.463368,0.119748,0.292869,1.685722
1785343022.523491,0.118200,0.306023,1.705193
1785343022.583509,0.116404,0.319244,1.721624
1785343022.663338,0.113539,0.337612,1.743630
1785343022.723401,0.110977,0.352068,1.760079
1785343022.783761,0.108057,0.367030,1.775990
1785343022.823446,0.105955,0.377103,1.786008
1785343022.863400,0.103701,0.387433,1.795083
1785343022.923429,0.100089,0.403232,1.806945
1785343022.963352,0.097545,0.413820,1.814687
1785343023.023477,0.093590,0.429549,1.824855
1785343023.063360,0.090964,0.439611,1.829992
1785343023.123441,0.087009,0.454641,1.835264
1785343023.163290,0.084383,0.464603,1.835643
1785343023.223378,0.080444,0.479594,1.833142
1785343023.263401,0.077846,0.489512,1.829742
1785343023.323479,0.074044,0.503994,1.825559
1785343023.383485,0.070418,0.518199,1.819144
1785343023.463655,0.065618,0.537302,1.812702
1785343023.523450,0.061994,0.552037,1.809160
1785343023.563407,0.059581,0.561952,1.807111
1785343023.623336,0.055955,0.576916,1.805609
1785343023.663430,0.053514,0.586859,1.806872
1785343023.723419,0.049836,0.601769,1.810430
1785343023.763352,0.047393,0.611636,1.812793
1785343023.823593,0.043633,0.626778,1.816188
1785343023.863374,0.041114,0.636624,1.819980
1785343023.923449,0.037258,0.651657,1.824833
1785343023.963339,0.034717,0.661465,1.826803
1785343024.023443,0.030848,0.676319,1.828794
1785343024.063446,0.028296,0.686069,1.829042
1785343024.123341,0.024475,0.700742,1.827904
1785343024.163333,0.021927,0.710584,1.826216
1785343024.223500,0.018109,0.725384,1.823147
1785343024.283489,0.014400,0.739976,1.818865
1785343024.363281,0.009645,0.759037,1.812294
1785343024.423520,0.006094,0.773593,1.807532
1785343024.463380,0.003742,0.783396,1.804470
1785343024.523443,0.000169,0.798458,1.800566
1785343024.563457,-0.002209,0.808497,1.799539
1785343024.623490,-0.005779,0.823619,1.799501
1785343024.663404,-0.008133,0.833628,1.799784
1785343024.723441,-0.011660,0.848612,1.800905
1785343024.763374,-0.014044,0.858715,1.802111
1785343024.823478,-0.017674,0.874064,1.803604
1785343024.883418,-0.021215,0.888936,1.805177
1785343024.923733,-0.023634,0.899142,1.805143
1785343024.983474,-0.027023,0.913327,1.805542
1785343025.063346,-0.031498,0.932226,1.803983
1785343025.123422,-0.034890,0.946643,1.801963
1785343025.183467,-0.038273,0.961256,1.798176
1785343025.223400,-0.040518,0.971087,1.795119
1785343025.263425,-0.042769,0.980944,1.793113
1785343025.323486,-0.046117,0.995806,1.790047
1785343025.363281,-0.048291,1.005613,1.787662
1785343025.423356,-0.051560,1.020592,1.783707
1785343025.463487,-0.053735,1.030626,1.781798
