t,x,y,yaw
1785862021.944425,-2.257238,-2.118257,-1.851501
1785862022.044554,-2.257242,-2.118273,-1.852648
1785862022.224785,-2.257274,-2.118382,-1.855127
1785862022.324836,-2.257302,-2.118475,-1.858376
1785862022.446544,-2.257263,-2.118346,-1.861397
1785862022.604470,-2.257256,-2.118322,-1.862326
1785862022.724444,-2.257250,-2.118303,-1.862284
1785862022.824479,-2.258052,-2.129445,-1.856130
1785862022.924602,-2.258326,-2.133250,-1.822605
1785862023.024947,-2.257843,-2.123618,-1.771153
1785862023.148741,-2.257689,-2.120431,-1.676120
1785862023.304926,-2.257825,-2.124211,-1.522321
1785862023.405378,-2.257371,-2.128820,-1.410445
1785862023.524624,-2.255977,-2.135390,-1.280161
1785862023.644456,-2.251633,-2.147580,-1.136606
1785862023.724568,-2.246242,-2.157899,-1.020906
1785862023.825164,-2.235216,-2.174180,-0.883232
1785862023.924891,-2.218860,-2.192632,-0.762473
1785862024.024436,-2.198967,-2.210612,-0.665639
1785862024.125249,-2.177011,-2.226997,-0.584195
1785862024.224514,-2.154546,-2.240971,-0.510091
1785862024.324378,-2.131046,-2.253170,-0.435493
1785862024.425663,-2.107079,-2.263489,-0.364290
1785862024.524382,-2.083667,-2.271785,-0.301212
1785862024.584458,-2.069178,-2.276100,-0.264161
1785862024.644792,-2.054410,-2.279894,-0.226915
1785862024.725438,-2.034306,-2.284222,-0.180183
1785862024.824360,-2.009630,-2.288214,-0.127157
1785862024.924563,-1.984279,-2.291002,-0.078829
1785862025.024300,-1.958595,-2.292638,-0.033349
1785862025.104922,-1.937536,-2.293172,-0.002387
1785862025.144842,-1.926801,-2.293266,0.010263
1785862025.224310,-1.905575,-2.292945,0.032902
1785862025.324643,-1.878866,-2.291909,0.056849
1785862025.425052,-1.852784,-2.290247,0.077258
1785862025.505140,-1.832477,-2.288595,0.092170
1785862025.546089,-1.822264,-2.287588,0.100563
1785862025.624885,-1.802383,-2.285514,0.114302
1785862025.704918,-1.782274,-2.283106,0.127718
1785862025.744493,-1.772327,-2.281837,0.133626
1785862025.824716,-1.752197,-2.279096,0.143491
1785862025.925780,-1.726558,-2.275401,0.151511
1785862026.024543,-1.701736,-2.271740,0.151926
1785862026.124290,-1.676479,-2.267897,0.152642
1785862026.225511,-1.650792,-2.263958,0.153090
1785862026.325083,-1.625445,-2.260020,0.154584
1785862026.425809,-1.599574,-2.255915,0.158089
1785862026.524326,-1.574967,-2.251863,0.164704
1785862026.624575,-1.549767,-2.247494,0.175621
1785862026.704607,-1.529412,-2.243768,0.185430
1785862026.744381,-1.519042,-2.241777,0.191759
1785862026.824509,-1.498258,-2.237568,0.205645
1785862026.924300,-1.472746,-2.232008,0.223745
1785862027.025197,-1.448738,-2.226321,0.241531
1785862027.124666,-1.425333,-2.220351,0.260925
1785862027.224819,-1.401605,-2.213746,0.283551
1785862027.324719,-1.377735,-2.206445,0.310469
1785862027.424510,-1.353336,-2.198261,0.339512
1785862027.525381,-1.328572,-2.189200,0.368006
1785862027.624952,-1.304567,-2.179681,0.393760
1785862027.704662,-1.285405,-2.171625,0.411903
1785862027.744474,-1.275995,-2.167472,0.421771
1785862027.824655,-1.257165,-2.158874,0.440470
1785862027.924577,-1.234105,-2.147684,0.465974
1785862028.024422,-1.211068,-2.135632,0.497561
1785862028.125066,-1.187772,-2.122437,0.535091
1785862028.224795,-1.166023,-2.108987,0.573253
1785862028.324817,-1.144973,-2.094885,0.612745
1785862028.425309,-1.124278,-2.079974,0.648056
1785862028.524355,-1.104719,-2.064786,0.680841
1785862028.624343,-1.085368,-2.048797,0.711026
1785862028.705342,-1.069757,-2.035146,0.735362
1785862028.824455,-1.047878,-2.014792,0.769090
1785862028.924326,-1.030169,-1.997430,0.792480
1785862029.024659,-1.012566,-1.979220,0.818089
1785862029.084519,-1.002158,-1.967993,0.833670
1785862029.144584,-0.991900,-1.956549,0.849960
1785862029.224720,-0.978663,-1.941220,0.870969
1785862029.325940,-0.962391,-1.921446,0.898485
