t,x,y,yaw
1785861935.924422,-2.253890,-2.200680,-1.979069
1785861936.024434,-2.253850,-2.200589,-2.008528
1785861936.124407,-2.254306,-2.217572,-1.999561
1785861936.225275,-2.254502,-2.223504,-1.996326
1785861936.345368,-2.254502,-2.223504,-1.997522
1785861936.484601,-2.254502,-2.223504,-1.997740
1785861936.624333,-2.254502,-2.223504,-1.997748
1785861936.724443,-2.254501,-2.226450,-2.006819
1785861936.844405,-2.254583,-2.226628,-1.983479
1785861936.944568,-2.256513,-2.214551,-1.928628
1785861937.124379,-2.256396,-2.214153,-1.761341
1785861937.224395,-2.256007,-2.215847,-1.637724
1785861937.344469,-2.255898,-2.217569,-1.506145
1785861937.444469,-2.255721,-2.219140,-1.400417
1785861937.604487,-2.255191,-2.221241,-1.235685
1785861937.724339,-2.254723,-2.222420,-1.112522
1785861937.844438,-2.251772,-2.228130,-0.988007
1785861937.944438,-2.245201,-2.237657,-0.877913
1785861938.024431,-2.235219,-2.249023,-0.772181
1785861938.084552,-2.224452,-2.259193,-0.693385
1785861938.144420,-2.211402,-2.269676,-0.619925
1785861938.204490,-2.196798,-2.279810,-0.554398
1785861938.244505,-2.186552,-2.286072,-0.513895
1785861938.324264,-2.165575,-2.297352,-0.440146
1785861938.424539,-2.139492,-2.308666,-0.359529
1785861938.484450,-2.124418,-2.314144,-0.317302
1785861938.544552,-2.109763,-2.318678,-0.275435
1785861938.624464,-2.090312,-2.323871,-0.223918
1785861938.724418,-2.065994,-2.328848,-0.164100
1785861938.824370,-2.041264,-2.332433,-0.108679
1785861938.904506,-2.021068,-2.334425,-0.069312
1785861938.944476,-2.010740,-2.335125,-0.051066
1785861939.004765,-1.995436,-2.335793,-0.024677
1785861939.044365,-1.985264,-2.336038,-0.007919
1785861939.104592,-1.969635,-2.336052,0.017750
1785861939.144599,-1.959403,-2.335801,0.034477
1785861939.224428,-1.938594,-2.334955,0.063617
1785861939.324458,-1.912388,-2.332934,0.098854
1785861939.424407,-1.886781,-2.330148,0.128161
1785861939.504461,-1.867232,-2.327605,0.144774
1785861939.584511,-1.847448,-2.324672,0.161102
1785861939.705229,-1.804641,-2.320095,0.198470
1785861939.744462,-1.772065,-2.317891,0.231282
