t,x,y,yaw
1785862089.244510,-2.251006,-2.210370,-1.887543
1785862089.424421,-2.252009,-2.207642,-1.895099
1785862089.524621,-2.252009,-2.207642,-1.895445
1785862089.624733,-2.252009,-2.207642,-1.895099
1785862089.744850,-2.252009,-2.207642,-1.895052
1785862089.924510,-2.251938,-2.221345,-1.889014
1785862090.044519,-2.251919,-2.226027,-1.886394
1785862090.224366,-2.252479,-2.216688,-1.893077
1785862090.344376,-2.252674,-2.213423,-1.893722
1785862090.444529,-2.252685,-2.213456,-1.882711
1785862090.624398,-2.252614,-2.213193,-1.776127
1785862090.724485,-2.252612,-2.213132,-1.678406
1785862090.824787,-2.252630,-2.213324,-1.573577
1785862090.944441,-2.252557,-2.215282,-1.448594
1785862091.048247,-2.252254,-2.216992,-1.340144
1785862091.144442,-2.250206,-2.228438,-1.262155
1785862091.284816,-2.247910,-2.234411,-1.106174
1785862091.424389,-2.239787,-2.248768,-0.947346
1785862091.524651,-2.226673,-2.265409,-0.813103
1785862091.624309,-2.207127,-2.284428,-0.692967
1785862091.724499,-2.183235,-2.302820,-0.586502
1785862091.804438,-2.162857,-2.315766,-0.514122
1785862091.844471,-2.152711,-2.321335,-0.478399
1785862091.907454,-2.137165,-2.328995,-0.424291
1785862092.024297,-2.109301,-2.340342,-0.333096
1785862092.124403,-2.085382,-2.347869,-0.260087
1785862092.224280,-2.061545,-2.353500,-0.190064
1785862092.304490,-2.041900,-2.356908,-0.135781
1785862092.424264,-2.011845,-2.360258,-0.067147
1785862092.504556,-1.991958,-2.361318,-0.026089
1785862092.544463,-1.981889,-2.361608,-0.006704
1785862092.624280,-1.961520,-2.361538,0.029189
1785862092.704489,-1.940314,-2.360827,0.058825
1785862092.744459,-1.929623,-2.360171,0.074110
1785862092.824301,-1.908562,-2.358384,0.103130
1785862092.924451,-1.882745,-2.355398,0.135204
1785862093.024862,-1.857535,-2.351780,0.161132
1785862093.124582,-1.833647,-2.347720,0.183783
1785862093.224295,-1.809708,-2.343219,0.199988
1785862093.324431,-1.785243,-2.338163,0.216094
1785862093.424269,-1.732180,-2.311761,0.293114
1785862093.524395,-1.707497,-2.304342,0.299134
1785862093.604516,-1.687711,-2.298381,0.298180
1785862093.644393,-1.677966,-2.295445,0.296073
1785862093.708255,-1.661911,-2.290665,0.291390
1785862093.824372,-1.633328,-2.282292,0.280458
1785862093.924697,-1.609167,-2.275418,0.271521
1785862094.024642,-1.577083,-2.272149,0.245386
1785862094.124362,-1.549924,-2.267222,0.230339
1785862094.224384,-1.525250,-2.261404,0.226581
1785862094.306445,-1.504149,-2.256373,0.230473
1785862094.344486,-1.494164,-2.253996,0.232319
1785862094.424271,-1.473581,-2.248950,0.240268
1785862094.504424,-1.453069,-2.243707,0.252866
1785862094.544280,-1.442907,-2.241024,0.259792
1785862094.624447,-1.422390,-2.235375,0.275477
1785862094.724417,-1.398439,-2.228215,0.299455
1785862094.824305,-1.374880,-2.220706,0.321479
1785862094.924345,-1.351069,-2.212572,0.342578
1785862095.004459,-1.331963,-2.205643,0.358521
1785862095.044495,-1.322440,-2.202047,0.367060
1785862095.105168,-1.308075,-2.196409,0.381629
1785862095.144410,-1.298785,-2.192627,0.391632
1785862095.224326,-1.279514,-2.184474,0.412273
1785862095.325341,-1.255265,-2.173473,0.441027
1785862095.404437,-1.236609,-2.164394,0.465840
1785862095.444366,-1.227414,-2.159722,0.477916
1785862095.524315,-1.208984,-2.149984,0.501413
1785862095.606261,-1.190524,-2.139552,0.528597
1785862095.724318,-1.165283,-2.124225,0.566954
1785862095.824344,-1.144406,-2.110521,0.600218
1785862095.924465,-1.124822,-2.096662,0.634995
1785862096.024262,-1.105902,-2.082323,0.668959
1785862096.104443,-1.090589,-2.069977,0.696856
1785862096.144423,-1.082770,-2.063397,0.711178
1785862096.224371,-1.066866,-2.049442,0.739091
1785862096.284585,-1.055019,-2.038569,0.757606
1785862096.324460,-1.047375,-2.031298,0.769748
1785862096.424350,-1.028759,-2.012787,0.801476
1785862096.524286,-1.011450,-1.994586,0.828455
1785862096.624226,-0.994938,-1.976350,0.850902
1785862096.724460,-0.978823,-1.957779,0.870643
1785862096.824313,-0.962841,-1.938771,0.883934
1785862096.924464,-0.946807,-1.919142,0.894923
1785862097.024571,-0.930893,-1.899496,0.897522
1785862097.124425,-0.915150,-1.879861,0.898093
1785862097.224282,-0.898951,-1.859820,0.892660
1785862097.324451,-0.882942,-1.840084,0.887093
1785862097.424249,-0.867147,-1.820774,0.882327
1785862097.524457,-0.851018,-1.801242,0.877718
1785862097.624350,-0.835119,-1.782012,0.876912
1785862097.704439,-0.822404,-1.766757,0.874806
1785862097.744968,-0.815794,-1.758869,0.873565
1785862097.824304,-0.802849,-1.743419,0.872008
1785862097.924506,-0.786355,-1.723939,0.866497
1785862098.024368,-0.769724,-1.704549,0.858751
1785862098.124401,-0.752207,-1.684617,0.845226
1785862098.224228,-0.734151,-1.664775,0.824823
1785862098.324328,-0.716209,-1.645740,0.803754
