t,x,y,yaw
1785861856.824509,-2.244835,-2.204898,-1.841239
1785861856.925101,-2.244807,-2.204905,-1.841514
1785861857.045523,-2.244807,-2.204905,-1.841655
1785861857.224419,-2.244779,-2.204913,-1.842283
1785861857.324525,-2.244779,-2.204913,-1.841358
1785861857.444359,-2.244775,-2.204914,-1.840462
1785861857.544454,-2.244748,-2.204917,-1.840081
1785861857.725007,-2.244761,-2.204967,-1.790422
1785861857.844455,-2.244778,-2.205082,-1.689859
1785861857.944542,-2.244799,-2.205309,-1.579405
1785861858.104441,-2.244775,-2.205596,-1.396301
1785861858.224457,-2.244740,-2.205822,-1.262693
1785861858.324644,-2.243946,-2.208322,-1.154943
1785861858.524448,-2.235864,-2.222750,-0.933234
1785861858.625103,-2.224752,-2.236594,-0.807894
1785861858.725245,-2.206605,-2.254208,-0.686553
1785861858.824553,-2.184019,-2.271205,-0.576479
1785861858.924431,-2.159492,-2.286092,-0.485053
1785861859.024513,-2.135348,-2.297900,-0.403248
1785861859.124349,-2.111682,-2.307168,-0.328168
1785861859.204518,-2.092310,-2.313365,-0.271811
1785861859.244488,-2.082618,-2.315974,-0.244021
1785861859.324455,-2.063018,-2.320456,-0.190497
1785861859.425023,-2.038089,-2.324698,-0.128807
1785861859.524386,-2.012752,-2.327463,-0.073196
1785861859.624511,-1.987746,-2.328803,-0.021356
1785861859.724416,-1.962450,-2.328914,0.027311
1785861859.824468,-1.935813,-2.327949,0.065847
1785861859.924516,-1.909287,-2.325885,0.101422
1785861860.025353,-1.883550,-2.323044,0.128913
1785861860.124575,-1.858088,-2.319648,0.150239
1785861860.224755,-1.833391,-2.315688,0.171918
1785861860.304447,-1.813645,-2.312175,0.187288
1785861860.344451,-1.803704,-2.310324,0.193488
1785861860.424484,-1.783291,-2.306366,0.201746
1785861860.525683,-1.734494,-2.302622,0.240799
1785861860.624857,-1.709671,-2.296535,0.244424
1785861860.704525,-1.689655,-2.291637,0.243592
1785861860.744903,-1.679576,-2.289138,0.243057
1785861860.824498,-1.659559,-2.284139,0.244394
1785861860.924454,-1.634944,-2.278008,0.244060
1785861861.024481,-1.610200,-2.271891,0.242694
1785861861.124438,-1.585398,-2.265682,0.244709
1785861861.224955,-1.561029,-2.259487,0.249361
1785861861.324450,-1.537165,-2.253454,0.249847
1785861861.424489,-1.512065,-2.247003,0.252979
1785861861.524407,-1.486333,-2.240210,0.259819
1785861861.625766,-1.460212,-2.233186,0.265822
1785861861.724805,-1.434428,-2.226100,0.271975
1785861861.825687,-1.409960,-2.219134,0.280373
1785861861.904410,-1.391037,-2.213575,0.288985
1785861861.948351,-1.380671,-2.210462,0.294126
1785861862.024621,-1.362539,-2.204823,0.305589
1785861862.124463,-1.339318,-2.197224,0.324145
1785861862.225306,-1.316483,-2.189298,0.344383
1785861862.324518,-1.293062,-2.180610,0.367876
1785861862.424757,-1.269003,-2.171026,0.392771
1785861862.524471,-1.245005,-2.160880,0.414363
1785861862.624699,-1.221018,-2.150098,0.435648
1785861862.724368,-1.197608,-2.138835,0.461358
1785861862.824482,-1.175132,-2.127254,0.490716
1785861862.924381,-1.153328,-2.115158,0.522888
1785861863.024484,-1.131967,-2.102394,0.557937
1785861863.124355,-1.110592,-2.088504,0.596838
1785861863.224418,-1.089850,-2.073934,0.634520
1785861863.324386,-1.069339,-2.058359,0.672554
1785861863.424735,-1.049473,-2.042002,0.711486
1785861863.524472,-1.031084,-2.025619,0.749458
1785861863.624645,-1.012787,-2.008075,0.788760
1785861863.724437,-0.995377,-1.990031,0.825527
1785861863.824482,-0.979010,-1.972114,0.852170
1785861863.924464,-0.962693,-1.953351,0.873439
1785861864.024541,-0.946514,-1.933888,0.890854
1785861864.124326,-0.930635,-1.914233,0.902163
1785861864.224526,-0.914828,-1.894501,0.903297
1785861864.324685,-0.898893,-1.874488,0.900262
1785861864.424520,-0.882827,-1.854364,0.896603
1785861864.524363,-0.866587,-1.834140,0.892688
1785861864.624444,-0.850079,-1.813604,0.891523
1785861864.725163,-0.833682,-1.793191,0.892828
1785861864.824539,-0.817764,-1.773451,0.892236
1785861864.924248,-0.801553,-1.753496,0.888276
1785861865.012210,-0.787183,-1.735943,0.883299
1785861865.124675,-0.769042,-1.714363,0.866891
1785861865.224514,-0.752368,-1.695138,0.848715
1785861865.324459,-0.735191,-1.676041,0.828168
1785861865.424554,-0.717444,-1.657115,0.805617
1785861865.524401,-0.699218,-1.638641,0.779168
1785861865.584558,-0.687957,-1.627694,0.762123
1785861865.644428,-0.676713,-1.617071,0.746220
1785861865.724446,-0.661774,-1.603499,0.724016
1785861865.825747,-0.642055,-1.586496,0.694604
1785861865.924381,-0.622531,-1.570584,0.667296
1785861866.024451,-0.602216,-1.554961,0.638409
1785861866.104461,-0.585715,-1.543018,0.612881
1785861866.144437,-0.577132,-1.537038,0.599578
1785861866.224466,-0.560181,-1.525618,0.577139
1785861866.324497,-0.539113,-1.512183,0.550210
1785861866.425356,-0.517537,-1.499343,0.519752
1785861866.524559,-0.495753,-1.487408,0.483453
1785861866.625231,-0.473424,-1.476090,0.447910
1785861866.725364,-0.450818,-1.465758,0.407714
1785861866.825490,-0.427049,-1.456020,0.364079
1785861866.924897,-0.403206,-1.447457,0.320374
1785861867.025901,-0.379529,-1.440031,0.278530
1785861867.124477,-0.356424,-1.433722,0.240823
1785861867.204406,-0.337679,-1.429365,0.208701
1785861867.324344,-0.309200,-1.423893,0.161275
1785861867.424482,-0.284206,-1.420143,0.124555
1785861867.524316,-0.258501,-1.417076,0.096943
1785861867.624377,-0.232672,-1.414701,0.073760
1785861867.704412,-0.212414,-1.413245,0.060115
1785861867.744407,-0.202175,-1.412591,0.053358
1785861867.808158,-0.185969,-1.411720,0.044421
1785861867.924425,-0.156720,-1.410493,0.032554
1785861868.025656,-0.132655,-1.409829,0.022778
1785861868.124449,-0.111488,-1.409451,0.013453
1785861868.184441,-0.100526,-1.409366,0.007844
1785861868.248469,-0.090454,-1.409323,0.003304
1785861868.344425,-0.078128,-1.409329,-0.002942
1785861868.444438,-0.066730,-1.409419,-0.012071
1785861868.544404,-0.055429,-1.409613,-0.024616
1785861868.624386,-0.045378,-1.409894,-0.036242
1785861868.744425,-0.030805,-1.410498,-0.050923
1785861868.844479,-0.019104,-1.411121,-0.061158
1785861868.944617,-0.007629,-1.411734,-0.059636
1785861869.044424,0.003025,-1.412162,-0.040056
1785861869.144436,0.013396,-1.412259,-0.000866
1785861869.244407,0.024875,-1.411785,0.063520
1785861869.344485,0.037269,-1.410468,0.142591
1785861869.444520,0.048862,-1.408424,0.218034
1785861869.544426,0.058637,-1.406006,0.286193
1785861869.644475,0.066785,-1.403473,0.342163
1785861869.824524,0.077769,-1.399182,0.423482
1785861869.946560,0.081314,-1.397541,0.455971
1785861870.124788,0.081383,-1.397553,0.440258
